
Imaging the volcanic structures beneath Gran Canaria Island using new gravity data

F. G. Montesinos1,5, J. Arnoso2,5, D. Gómez-Ortiz3, M. Benavent1,5, I. Blanco-Montenegro4,5, E. Vélez2,5,T. Martín-Crespo3, A. V. Gorbatikov6, and M. Y. Stepanova6

1 Facultad de CC. Matemáticas, Universidad Complutense de Madrid. Plaza de Ciencias 3, 28040 Madrid, Spain
2 Instituto de Geociencias (IGEO), CSIC-UCM. C/ Doctor Severo Ochoa, 7. 28040 Madrid, Spain.
3 Dpt. Biología y Geología, Física y Química Inorgánica, ESCET, Universidad Rey Juan Carlos. C/Tulipán s/n, 28933 Móstoles, Madrid, Spain.
4 Departamento de Física, Escuela Politécnica Superior, Universidad de Burgos. Avda. de Cantabria s/n, 09006 Burgos, Spain.
5 Research Group ‘Geodesia’, Universidad Complutense de Madrid, Spain
6 Institute of Physics of the Earth, Russian Academy of Sciences. Bolshaya Gruzinskaya 10,123995 Moscow, Russia

Corresponding author: Fuensanta G. Montesinos (fuensant@ucm.es)

Projects CGL2015-63799-P and CGL2011-25494 of the Spanish Research Agency has supported this research. 

------------------------------------------------------------------------------------------------
Responsible Researchers: 
-  José Arnoso Sampedro,  Instituto de Geociencias (CSIC-UCM), Spain
jose_arnoso@csic.es

- Fuensanta González Montesinos, Facultad de CC. Matemáticas, Universidad Complutense de Madrid. Spain
fuensant@ucm.es


>> The use of this data set is limited to academic or research purposes and it have to be notified to the responsible researchers.

  
Coordinates: UTM 28N  	    
Datum WGS84
X (m)   Y (m)    H (m)  gravity(mGal) Bouguer Gravity anomaly (mGal)
                                      (terrain density  2600 kg/m3)
457951 3109054     75    979359.87            207.30
450769 3106167    403    979308.05            224.95
435166 3091903   1194    979140.81            233.71
456086 3111206     59    979365.68            209.37
454722 3109033    189    979342.57            213.52
452831 3108218    215    979343.57            219.98
452495 3110463    139    979359.22            219.94
452086 3108885    214    979345.58            221.52
453823 3110169    262    979327.34            214.99
452374 3111668     96    979368.40            220.13
451031 3110325    167    979357.94            225.20
451405 3107575    263    979336.67            223.63
455449 3110505    152    979348.21            211.81
457884 3112226      5    979373.88            205.76
457241 3115739     58    979361.04            206.87
459893 3115343     24    979364.84            203.51
450027 3111234    206    979350.68            225.13
449903 3108771    278    979338.97            229.22
449004 3110133    225    979352.89            231.18
447972 3108612    316    979337.07            235.68
448705 3112734    113    979365.53            220.93
446850 3111382    220    979353.15            231.25
446248 3109185    460    979305.86            234.70
450468 3112619    115    979363.14            219.18
430208 3108821     13    979450.97            286.07
441036 3098014   1511    979078.83            238.75
443537 3102867    977    979203.40            243.61
437826 3112800    181    979385.42            254.47
447465 3113592     19    979384.03            219.63
446621 3112681    152    979359.96            224.23
444586 3108952    518    979297.19            239.02
445078 3110475    333    979332.68            235.00
445236 3111766    212    979354.60            231.23
444838 3113436      7    979390.36            223.78
442492 3112083    244    979351.88            236.29
442976 3110576    405    979323.33            240.44
442149 3108993    527    979303.41            248.02
444066 3111496    237    979352.96            235.22
442253 3113598      5    979398.18            230.42
440166 3112601    354    979330.85            239.28
440343 3110382    514    979309.29            250.29
438784 3109257    639    979296.48            263.68
438868 3110817    439    979334.36            259.15
437981 3114347    158    979379.12            243.20
435507 3113045     68    979418.72            263.44
433964 3110370    206    979409.22            284.17
431971 3111793    132    979411.94            270.78
432104 3114426     59    979411.15            253.45
432869 3116087     23    979407.12            241.64
434608 3114827      8    979418.87            249.95
433477 3113963     87    979409.65            257.74
436188 3115578     36    979402.13            239.60
435137 3112057    112    979417.29            271.84
432671 3109700    164    979420.36            286.60
431791 3111090    166    979409.71            275.83
433963 3108409    342    979382.56            288.67
436191 3110223    409    979356.37            276.29
436977 3107802    752    979282.94            275.15
436258 3105943    881    979254.30            276.35
438388 3105655    957    979227.64            263.66
436898 3111704    194    979393.87            267.40
433971 3106102    217    979401.54            290.92
453103 3102352    452    979292.24            220.88
450799 3100379    496    979291.19            231.22
448501 3100573    676    979256.25            234.00
445386 3100107    921    979207.59            237.91
446687 3101753    886    979212.87            235.05
448338 3103818    704    979249.04            232.30
452906 3105861    228    979340.25            220.91
450332 3103786    583    979269.96            227.28
446912 3105848    603    979277.58            237.30
445100 3103968    740    979253.33            243.81
442110 3100000   1330    979122.18            240.83
444514 3106203    734    979254.09            242.07
441872 3105210    867    979234.29            251.07
458208 3105209     76    979356.97            206.62
453129 3099802    338    979315.30            225.53
455314 3098435    281    979324.90            220.98
452145 3097671    474    979292.26            230.39
450757 3095645    621    979267.48            237.19
447673 3095162    973    979193.22            241.06
449213 3097442    956    979190.88            232.41
445954 3097405   1068    979173.19            235.78
447197 3098308    839    979222.44            236.20
450608 3099081    708    979243.47            229.70
444265 3096034   1383    979105.20            237.14
444005 3093260   1915    978974.46            235.07
456913 3096596    256    979323.84            215.00
457768 3111810      7    979373.61            205.80
458828 3105122     20    979367.06            205.42
456043 3103692    298    979315.32            211.48
458290 3101889     77    979356.10            207.07
459848 3099082     94    979347.38            203.27
462910 3096434     34    979349.81            195.05
461830 3091621     15    979362.73            206.27
458452 3094616    193    979335.81            214.81
458327 3092209    228    979335.42            223.63
458102 3090110    196    979353.09            235.85
460949 3095148     80    979348.13            203.23
454206 3094623    507    979285.60            231.20
451913 3093272    909    979203.08            236.94
447387 3093007   1529    979066.89            236.00
441212 3093606   1601    979056.16            238.47
438063 3093224   1361    979105.00            236.02
439494 3090555   1224    979141.71            241.35
441884 3090546   1141    979157.80            246.51
454712 3090278    569    979285.33            247.12
453085 3102364    455    979292.31            221.70
454985 3101434    572    979245.05            208.44
457104 3091555    348    979318.38            232.54
461549 3087133     16    979372.99            219.32
459128 3084995     55    979383.51            239.34
460594 3081666     13    979373.80            222.98
456502 3084337    119    979384.52            254.24
455338 3087752    321    979346.75            258.20
454052 3089750    429    979319.26            256.67
449622 3090336    980    979199.20            252.28
452467 3087717    588    979295.57            264.32
450078 3087383    717    979263.00            261.17
453667 3086079    280    979365.24            269.33
457030 3081570     69    979381.36            242.16
454123 3080784    150    979366.48            244.93
451168 3083072    352    979336.60            257.36
451845 3084577    324    979351.41            267.26
449156 3083707    562    979288.84            254.54
447349 3086043    608    979284.58            257.29
445784 3088409    650    979276.80            259.54
443689 3088257    914    979216.10            251.95
454783 3083679    127    979387.91            260.24
445207 3094955   1391    979102.94            239.53
441649 3096100   1550    979065.42            237.07
444756 3091359   1033    979179.73            248.98
444529 3085974    696    979262.99            254.24
445542 3084956    597    979281.92            253.46
447285 3084298    352    979332.02            257.78
444407 3082734    467    979298.41            245.80
443977 3079870    372    979303.78            236.55
442960 3077320    475    979271.94            226.77
458102 3079070     30    979368.10            222.50
458071 3076599      6    979362.26            213.62
455112 3078158     82    979361.57            227.74
449587 3080873    444    979299.28            242.98
453518 3078863    122    979361.21            235.34
452698 3076036     22    979367.29            223.04
454648 3075217     10    979361.41            214.92
450781 3073693     18    979358.31            215.38
442602 3072542    104    979339.55            215.19
442642 3075239    297    979306.38            222.08
445382 3071695      8    979354.63            211.34
447573 3073389     22    979356.32            215.39
451430 3078922    133    979358.39            236.78
445428 3076284    447    979277.65            223.62
445816 3073946    210    979320.73            218.01
441370 3069773     15    979348.10            207.16
438219 3069970     39    979348.20            212.16
435097 3070715     27    979356.59            217.59
430299 3073673     55    979361.16            227.06
432488 3071620     25    979361.88            222.20
423062 3095588     69    979408.45            264.51
421649 3096293     59    979408.57            261.37
420152 3097099     25    979410.44            255.93
419547 3098210      3    979414.13            253.40
421016 3096886     43    979410.11            258.70
422989 3094453    162    979387.56            263.99
425147 3090608    677    979271.82            259.85
423234 3091129    567    979297.14            261.35
422045 3089829    303    979346.12            259.11
420603 3088959    194    979364.33            254.97
418515 3087232     10    979389.81            243.22
425377 3089211    485    979312.34            259.47
424339 3087440    328    979338.66            254.84
423167 3085472    167    979358.43            244.82
420949 3083422     19    979383.50            237.90
423549 3092716    256    979364.52            263.25
428085 3086893    265    979351.22            255.26
428576 3084421    233    979347.97            247.06
427372 3082720    165    979355.63            243.20
428380 3075036      5    979374.79            228.90
424928 3077716      9    979373.64            228.42
426476 3079941     70    979368.15            237.53
426356 3076241     64    979360.52            227.60
428197 3076310     97    979357.22            229.99
434300 3072426     24    979364.53            224.17
433948 3074742     57    979361.16            229.14
434614 3077326     95    979357.24            235.16
434924 3080168    151    979352.05            241.43
433962 3082724    208    979346.66            248.40
434119 3087020    657    979266.30            249.54
433232 3084780    575    979275.37            247.90
440262 3072804     60    979351.89            218.52
440100 3075433    118    979345.70            226.46
440284 3078103    189    979338.67            233.35
440208 3080729    266    979332.29            242.15
440045 3082697    481    979293.73            246.38
437785 3073596    237    979317.56            219.99
437183 3076200    427    979283.58            225.27
436914 3078551    499    979277.67            231.39
436906 3081286    850    979205.56            235.67
427204 3088805    568    979288.35            257.45
430350 3086484    327    979331.90            254.36
431763 3087972    831    979228.23            247.06
432474 3086450    907    979207.96            245.87
433693 3089225    948    979198.37            239.98
435291 3089734    965    979195.85            240.11
437610 3091248   1070    979172.17            240.04
438434 3087929    916    979212.79            247.51
436436 3085690    988    979188.71            243.70
424829 3095570     89    979399.83            265.36
427094 3096100    144    979374.18            255.80
428612 3095290    217    979350.61            245.61
430478 3096551    289    979331.58            244.85
432071 3095211    645    979256.92            235.26
434751 3093982   1125    979151.59            230.79
436810 3092877   1187    979143.50            234.83
434355 3090618   1136    979152.77            235.47
422411 3093361    336    979348.10            262.24
427069 3085260    187    979357.76            247.38
425393 3083618    120    979364.48            241.46
424222 3082202     67    979371.32            238.31
422186 3080412      4    979377.72            230.38
438066 3071755    158    979328.38            215.91
435797 3073536    237    979320.15            222.88
430876 3107347    162    979417.20            288.12
430223 3105684    220    979400.74            287.14
428296 3104306    179    979403.54            283.64
428433 3102594     69    979426.68            285.79
426599 3101761    408    979349.60            279.56
424741 3100849    533    979309.49            271.13
422781 3099555    361    979340.87            263.05
421291 3098438    101    979398.66            259.34
422371 3097284     51    979413.00            263.45
423785 3096698    192    979383.95            263.92
432357 3096875    444    979300.06            239.03
432948 3098526    963    979200.61            241.91
434096 3100230   1099    979180.85            249.61
436107 3099705   1199    979153.01            244.36
436604 3103795    961    979226.15            264.43
434542 3102894    861    979245.55            266.06
439098 3104036   1098    979188.84            256.33
439098 3104036   1098    979188.64            256.13
439501 3101821   1442    979096.07            242.25
437136 3101789   1234    979152.37            249.48
432210 3100941   1178    979165.98            256.10
433083 3103543   1309    979140.80            266.55
431440 3102146   1247    979150.61            264.17
438017 3099113   1181    979147.61            243.53
439562 3096741   1061    979177.92            240.49
437924 3096018   1160    979152.33            235.92
435660 3096624    950    979193.87            240.52
434424 3095660    634    979258.14            234.38
439321 3094701   1272    979126.40            237.40
443845 3081552    400    979306.67            242.36
442749 3079295    414    979294.55            233.28
442094 3080910    429    979297.28            240.51
439136 3077236    404    979289.83            227.18
448645 3107180    447    979304.96            232.33
442087 3102920    847    979234.08            249.90
442606 3107427    657    979277.77            248.99
440440 3107797    690    979278.84            256.65
435058 3104847    525    979326.99            281.45
425536 3101291    537    979315.56            275.09
426793 3100569    651    979295.28            272.81
428511 3100325    585    979306.59            270.23
