Longitud_DD,Latitud_DD,Elevacion_m,Gravedad_Obs_mGal,Gravedad_Normal_mGal,Anomalia_Aire_Libre_mGal,Anomalia_Bouguer_Simple_mGal,Anomalia_Bouguer_Completa_mGal
-15.428082631793348,28.10631930205166,75,979359.87,979156.418193978,203.4518060219707,195.27545602197068,242.73252730108968
-15.501076299192704,28.08001115973828,403,979308.05,979053.2081787334,254.84182126668748,210.90756726668747,280.68489217160464
-15.659092659905976,27.95058295727959,1194,979140.81,978799.439616294,341.37038370606024,211.20289170606023,238.9578278488817
-15.44714950056004,28.125684551520028,59,979365.68,979162.8104620122,202.8695379878627,196.4374759878627,232.58720723585557
-15.460954031505928,28.106023200264044,189,979342.57,979121.2083839416,221.36161605839152,200.75721405839153,249.97157914063817
-15.480172117962677,28.098600272979432,215,979343.57,979112.6264333185,230.94356668146793,207.50469668146792,259.64507077136017
-15.483683336375927,28.11885349532899,139,979359.22,979137.6042416429,221.6157583571039,206.4622563571039,248.48947228254144
-15.487783092391574,28.104594417288848,214,979345.58,979113.3848439438,232.19515605620109,208.86530405620107,259.5393246232132
-15.470150793242857,28.11624663433047,262,979327.34,979099.4442418667,227.8957581332652,199.3330421332652,255.13334745476024
-15.484964242294259,28.12972644938652,96,979368.4,979151.6930992343,216.70690076577011,206.2411727657701,243.4065560944819
-15.498583180021937,28.117554406528367,167,979357.94,979128.864250899,229.07574910100084,210.86974310100084,255.55004194182362
-15.494661497640045,28.092744440397517,263,979336.67,979097.372027012,239.29797298798803,210.62623898798802,268.8803822731465
-15.453608881945193,28.119335419671273,152,979348.21,979133.6278231945,214.58217680547386,198.01144080547385,243.4679309245235
-15.428878644582666,28.134950450852145,5,979373.88,979180.1747512606,193.70524873945396,193.16015873945398,231.90919198554352
-15.43555463707422,28.16664108629256,58,979361.04,979166.1954058139,194.8445941861719,188.52155018617188,230.29048112903686
-15.408527658726625,28.16314969385629,24,979364.84,979176.4280316082,188.4119683917379,185.7955363917379,268.28809191742414
-15.508843930292395,28.125722200276428,206,979350.68,979117.4398457047,233.24015429534484,210.78244629534484,259.3102977255471
-15.510001308289256,28.103484530106247,278,979338.97,979093.5481823691,245.42181763087865,215.11481363087864,271.76565351103955
-15.51921227279259,28.115744673081544,225,979352.89,979110.8264977197,242.0635022802744,217.5344522802744,268.0660095962568
-15.529651699882859,28.101974774409033,316,979337.07,979081.70660958,255.36339041998144,220.91370241998143,281.16315156043254
-15.522370239094581,28.139211698180503,113,979365.53,979147.1580127187,218.37198728136718,206.0529532813672,244.46199011114695
-15.541198908148735,28.12693427378912,220,979353.15,979113.209727601,239.9402723989915,215.9563123989915,265.66727657801255
-15.547227841824663,28.107078211995027,460,979305.86,979037.6474366145,268.21256338548847,218.06428338548847,292.17437869342746
-15.50441218385668,28.138240873382745,115,979363.14,979146.4677748707,216.67222512932494,204.13515512932494,242.98381523561355
-15.710494004078441,28.10304386979282,13,979450.97,979175.3103171024,275.65968289761804,274.24244889761803,301.16533033530624
-15.59972698413792,28.006018686408776,1511,979078.83,978705.7971499937,373.032850006246,208.306652006246,249.0824716562929
-15.574522781452085,28.04993438516925,977,979203.4,978873.8270184151,329.5729815849336,223.0623955849336,239.29909616249242
-15.633156604462275,28.139340424639418,181,979385.42,979126.1787534498,259.2412465502275,239.5089885502275,277.5343227886472
-15.535036003054891,28.146907908142843,19,979384.03,979176.7512457387,207.27875426132232,205.20741226132233,233.3532547201429
-15.543589781435657,28.13865075169263,152,979359.96,979135.0780376904,224.88196230959147,208.31122630959146,250.79255011935294
-15.564136343004433,28.1049064352756,518,979297.19,979019.5850085537,277.6049914462492,221.13366744624918,300.5859710425682
-15.559199087563904,28.11867463696723,333,979332.68,979077.7131246632,254.96687533683144,218.66388133683142,280.1126189537613
-15.557650748321784,28.13033466366579,212,979354.6,979115.934237395,238.66576260502916,215.55394660502915,264.3121880822611
-15.561781974386847,28.145392673884285,7,979390.36,979180.3415972082,210.01840279181488,209.25527679181488,235.95167669744512
-15.585606736873382,28.133079599287562,244,979351.88,979106.2635772777,245.61642272234894,219.01603072234894,268.64208732774586
-15.580605041394698,28.119497380817588,405,979323.33,979055.5536260179,267.77637398208026,223.62408398208026,291.37520857002625
