Longitud_DD,Latitud_DD,Elevacion_m,Gravedad_Obs_mGal,Gravedad_Normal_mGal,Anomalia_Aire_Libre_mGal,Anomalia_Bouguer_Simple_mGal,Anomalia_Bouguer_Completa_mGal
-15.407777777777778,28.14611111111111,2.4577,979368.53,979181.7976817809,186.7323182191467,186.4643846805467,266.34852131036325
-15.407222222222222,28.14638888888889,2.7306,979368.95,979181.7343065684,187.21569343155716,186.91800888075716,267.2602672228528
-15.406944444444445,28.153888888888886,3.6803,979368.8,979182.0045311571,186.79546884295996,186.39424989755997,267.49038653901744
-15.406944444444445,28.16,4.2861,979369.14,979182.2766550595,186.86334494047333,186.3960828906733,267.9667192572547
-15.407222222222222,28.16,4.87,979369.96,979182.0964160969,187.86358390306123,187.33266624306123,268.76105885654465
-15.407144527777778,28.160139972222222,4.8186,979369.98,979182.122799081,187.857200918952,187.331886784152,268.8215875663044
-15.417222222222222,28.152777777777775,5.5269,979370.4,979181.3510504765,189.04894952347968,188.44641793927968,254.9976209358197
-15.426944444444445,28.1475,2.8084,979373.91,979181.7937485126,192.1162514874013,191.81008533620133,233.22393480679483
-15.440403777777778,28.13263611111111,10.4417,979375.64,979178.3212217926,197.3187782074092,196.1804449568092,228.55759531451756
-15.449888861111111,28.12711063888889,29.7648,979373.37,979171.941721403,201.42827859695535,198.18337963055535,230.55810569659351
-15.46458025,28.126689222222222,13.3668,979380.57,979176.9718007891,203.59819921082817,202.14097740842817,231.19833661267626
-15.476216,28.132900166666666,45.7417,979377.14,979167.4447158021,209.69528419792186,204.70861554732187,236.67474548549885
-15.476111111111111,28.13277777777778,44.1353,979378.92,979167.9313823703,210.9886176297441,206.1770754943441,237.97052364570695
-15.488176222222222,28.136216027777778,44.7909,979378.72,979167.9871928416,210.7328071583761,205.84979282217608,237.32111460164333
-15.502353305555555,28.14180763888889,82.1373,979369.33,979156.8792936426,212.4507063573692,203.4962621859692,238.835812652459
-15.516203583333333,28.145313583333333,71.3406,979370.75,979160.4752383038,210.2747616962297,202.49735216542967,236.52028844652537
-15.516111111111112,28.14527777777778,39.5019,979376.75,979170.3003260398,206.4496739602182,202.14325582601822,232.6608790668934
-15.5295655,28.151244638888887,30.3478,979378.43,979173.574180996,204.85581900400575,201.54736254360574,231.07630171111487
-15.544008472222222,28.146508166666667,9.0601,979386.85,979179.7894684125,207.06053158745635,206.07281760565635,233.08085888430418
-15.543888888888889,28.14638888888889,9.1055,979386.83,979179.7664952718,207.06350472813938,206.07084132913937,233.08274314661256
-15.559191055555557,28.145302555555556,14.1152,979388.53,979178.1385053287,210.39149467134848,208.85268379774848,236.33712552890412
-15.573619611111111,28.14247686111111,21.4139,979392.74,979175.6733192288,217.0666807711823,214.7321802209823,242.8292787474087
-15.587425444444445,28.139583916666666,89.858,979381.31,979154.3291446166,226.98085538344458,217.18471593944457,249.2017178307617
-15.5875,28.139722222222222,164.6118,979367.72,979131.2657579129,236.45424208708573,218.50859287468575,258.5619634594382
-15.600363444444444,28.14099347222222,164.5668,979367.74,979131.3751197873,236.36488021269906,218.42413681029907,254.92994483153655
-15.610962833333334,28.145190222222222,222.333,979358.12,979113.8605574105,244.25944258947857,220.02114359547858,262.71269803561626
-15.62466125,28.1436785,188.4992,979376.13,979124.1898899645,251.94011003547348,231.39030424987348,270.2491779620956
-15.634064083333334,28.141282277777776,162.0867,979389.66,979132.162313245,257.49768675502855,239.82731889442854,275.7881476038433
-15.647017555555555,28.14499013888889,129.5515,979397.39,979142.4831371697,254.90686283027753,240.78341740327753,273.27548006396177
-15.657600666666667,28.141381944444444,74.6233,979417.47,979159.1666739509,258.3033260491211,250.1680431297211,276.7059538250255
-15.661238944444445,28.134233388888887,97.1678,979419.57,979151.6710443295,267.8989556704182,257.30591645001823,286.4920687707743
-15.661111111111111,28.134166666666665,102.3697,979417.97,979150.0603763085,267.9096236914629,256.7494837368629,286.50272009881365
