Longitud_DD,Latitud_DD,Elevacion_m,Gravedad_Obs_mGal,Gravedad_Normal_mGal,Anomalia_Aire_Libre_mGal,Anomalia_Bouguer_Simple_mGal,Anomalia_Bouguer_Completa_mGal
-17.10888888888889,28.084444444444443,3083,979396.36,979176.9762167585,219.38378324150108,219.05285155510109,280.16072572527014
-17.107222222222223,28.089166666666664,3.0244,979396.38,979177.3484991473,219.0315008526668,218.7068593371468,252.28860623518972
-17.107267611111112,28.089200944444443,3.0445,979396.37,979177.3448658083,219.02513419173192,218.69833512613192,252.14801565177183
-17.107222222222223,28.089166666666664,2.8586,979397.43,979177.3996786205,220.03032137954142,219.72347696866143,253.31761027248788
-17.109722444444447,28.09042711111111,2857,979397.43,979177.4947196925,219.93528030754533,219.62860764194534,248.9453001360443
-17.113611111111112,28.09111111111111,7.2185,979397.9,979176.1997135559,221.70028644416016,220.92544687936015,247.87523151490467
-17.116111111111113,28.098055555555554,25.3105,979394.44,979171.1360447108,223.30395528918598,220.58710597078598,239.81837779413985
-17.12361111111111,28.104444444444447,87.3162,979384.47,979152.475859486,231.99414051393978,222.62154975297977,245.233839941717
-17.129195805555558,28.11061541666667,141.72,979376.0,979136.1463657831,239.8536342169391,224.6412960409391,251.36079117162137
-17.137105138888888,28.114764972222222,196.6765,979365.98,979119.4950568363,246.4849431636976,225.3735303124976,257.3514690200111
-17.1446575,28.12015311111111,280.7701,979350.57,979093.9442173544,256.6257826455403,226.48769549546031,267.08414610639124
-17.147222222222222,28.120833333333334,358.5679,979335.97,979069.9840985289,265.985901471111,227.496936230791,277.0076427367365
-17.149036805555554,28.123333527777778,358.9136,979335.86,979070.0650951336,265.79490486637224,227.26883191149224,276.3446225344019
-17.157491999999998,28.123982222222224,429.8128,979325.11,979048.2325382662,276.8774617337622,230.74101193152217,287.8699633951801
-17.164582027777776,28.126228194444444,472.47,979316.9,979035.2364361922,281.6635638078442,230.94825603184418,292.6101814397116
-17.172667361111113,28.128261555555557,510.8808,979312.32,979023.5351164851,288.7848835148616,233.94652973822156,299.7200009636494
-17175,28.129166666666666,558.3496,979306.3,979008.9539906473,297.3460093527101,237.41231660903009,308.5254009213611
-17.176392944444444,28.131192805555557,558.6366,979306.21,979009.0175561992,297.1924438007409,237.22794424746087,308.0898546236389
-17.184489194444446,28.13119641666667,631.7117,979295.3,978986.467167779,308.8328322210582,241.02439297369818,320.324075667721
-17.190070805555557,28.134075666666668,636.2618,979297.49,978985.279256594,312.2107434059726,243.9138927845326,323.3954103692306
-17.196675250000002,28.135258055555553,592.1113,979315.2,978998.9925772032,316.20742279675324,252.64972216571323,326.98853542445687
-17.200144055555555,28.134748194444445,557297,979323.73,979009.6979344381,314.03206556185614,254.21135974425613,324.6530969727188
-17.20095811111111,28.137476027777776,503.3415,979336.71,979026.5537236808,310.15627631917596,256.12719703597594,320.09445682503747
-17.197406055555557,28.142289666666667,439.6862,979351.57,979046.5601277684,305.00987223151606,257.81360377455604,314.01876368056855
