Longitud_DD,Latitud_DD,Elevacion_m,Gravedad_Obs_mGal,Gravedad_Normal_mGal,Anomalia_Aire_Libre_mGal,Anomalia_Bouguer_Simple_mGal,Anomalia_Bouguer_Completa_mGal
-16.247222222222224,28.470277777777778,10149,979398.9,979203.8636404525,195.036359547521,194.01504537952098,243.93718615621407
-16.24888888888889,28.475555555555555,28.5925,979394.79,979198.5699778678,196.22002213227097,193.34270167227098,243.27305542599044
-16.255277777777778,28.471944444444443,52.7189,979388.87,979190.8494907342,198.02050926582888,192.71530092102887,227.20145785010243
-16.259722222222223,28.46972222222222,62.3199,979386.13,979187.7177644812,198.41223551880103,192.14085934200102,213.64928861710726
-16.26222222222222,28.464444444444442,72.8529,979381.98,979184.067170689,197.9128293109825,190.5814962781825,208.290970046227
-16.26388888888889,28.459166666666665,75.2698,979379.1,979182.9218245635,196.17817543644924,188.60362492284924,204.76271381014948
-16.25611111111111,28.45888888888889,49.0165,979383.38,979191.004440095,192.37555990496185,187.44293147696186,217.94629971336354
-16.253333333333334,28.459444444444443,18.9541,979389.69,979200.3259841099,189.36401589005254,187.45662689885253,228.51738948128565
-16.249166666666667,28.461111111111112,4.3687,979392.01,979204.9542773586,187.05572264140937,186.61609162300937,234.2843911586183
-16.247281833333336,28.46618561111111,4.7428,979394.77,979205.222757605,189.54724239499774,189.06996494539774,238.5068088904044
-16.246944444444445,28.47083333333333,8.7556,979396.41,979204.3357953478,192.07420465222094,191.19311111302093,241.21010074160336
-16.247222222222224,28.473055555555554,8.8779,979399.06,979204.4662182153,194.5937817847589,193.7003809519589,243.516280252883
-16.24361111111111,28.47861111111111,8.9121,979398.07,979204.8761343986,193.1938656013226,192.29702315412263,244.27217978617026
-16.246257472222222,28.47789647222222,10.1562,979398.9,979204.4380169815,194.46198301855475,193.43994430015474,244.07262233363912
-16.266944444444444,28.45611111111111,84.3081,979376.31,979179.9008215431,196.40917845699005,187.92508573779006,201.55993942652694
-16.27138888888889,28.451666666666664,105.2885,979369.81,979173.0886680547,196.72133194538765,186.12593961338766,198.44217136871345
-16.274627777777777,28.447211111111113,118.7142,979364.31,979168.6076218965,195.70237810350955,183.75593072910954,196.7877620695743
-16.2775,28.450277777777778,169.9857,979356.11,979153.0141676366,203.0958323633531,185.9898314009531,204.0273587288032
-16.280833333333334,28.449166666666667,172.0708,979356.12,979152.2865450846,203.83345491543878,186.5176261698388,204.17560482740328
-16.283611111111114,28.448055555555555,214.0944,979347.22,979139.2318328335,207.98816716647707,186.44341950567707,208.2615837152874
-16.28353611111111,28.448016666666668,214.9611,979347.03,979138.9613853527,208.0686146473745,186.4366492321745,208.36090511972847
-16.2893,28.44681111111111,257.0595,979338.56,979125.8767064498,212.68329355027527,186.81488194627525,212.52425546124104
-16.291111111111114,28.450277777777778,297.1634,979333.01,979113.7612637897,219.24873621028382,189.34458894148383,219.15624439705178
