id,AB (mGal),Longitud,Latitud
1,260.000,-23.095,15.210
2,260.000,-23.096,15.213
3,260.000,-23.097,15.217
4,260.000,-23.099,15.220
5,260.000,-23.101,15.222
6,260.000,-23.103,15.225
7,260.000,-23.106,15.227
8,260.000,-23.108,15.229
9,260.000,-23.110,15.231
10,260.000,-23.113,15.233
11,260.000,-23.115,15.235
12,260.000,-23.118,15.237
13,260.000,-23.120,15.239
14,260.000,-23.123,15.241
15,260.000,-23.127,15.245
16,260.000,-23.130,15.248
17,260.000,-23.133,15.251
18,260.000,-23.136,15.254
19,260.000,-23.139,15.255
20,260.000,-23.141,15.258
21,260.000,-23.145,15.260
22,260.000,-23.148,15.260
23,260.000,-23.153,15.261
24,260.000,-23.156,15.261
25,260.000,-23.160,15.261
26,260.000,-23.163,15.261
27,260.000,-23.167,15.261
28,260.000,-23.171,15.260
29,260.000,-23.175,15.259
30,260.000,-23.178,15.258
31,260.000,-23.182,15.256
32,260.000,-23.186,15.254
33,260.000,-23.188,15.252
34,260.000,-23.191,15.250
35,260.000,-23.193,15.247
36,260.000,-23.196,15.244
37,260.000,-23.198,15.240
38,260.000,-23.200,15.237
39,260.000,-23.201,15.233
40,260.000,-23.204,15.229
41,260.000,-23.205,15.225
42,260.000,-23.206,15.221
43,260.000,-23.208,15.218
44,260.000,-23.209,15.215
45,260.000,-23.210,15.211
46,260.000,-23.212,15.207
47,260.000,-23.212,15.203
48,260.000,-23.213,15.199
49,260.000,-23.213,15.195
50,260.000,-23.213,15.190
51,260.000,-23.212,15.186
52,260.000,-23.211,15.182
53,260.000,-23.210,15.178
54,260.000,-23.209,15.174
55,260.000,-23.208,15.170
56,260.000,-23.206,15.167
57,260.000,-23.204,15.164
58,260.000,-23.202,15.161
59,260.000,-23.200,15.158
60,260.000,-23.198,15.155
61,260.000,-23.196,15.152
62,260.000,-23.194,15.149
63,260.000,-23.191,15.147
64,260.000,-23.188,15.144
65,260.000,-23.186,15.141
66,260.000,-23.183,15.139
67,260.000,-23.180,15.136
68,260.000,-23.177,15.134
69,260.000,-23.174,15.132
70,260.000,-23.170,15.130
71,260.000,-23.166,15.129
72,260.000,-23.163,15.127
73,260.000,-23.159,15.126
74,260.000,-23.154,15.125
75,260.000,-23.150,15.124
76,260.000,-23.147,15.123
77,262.000,-23.168,15.256
78,262.000,-23.164,15.257
79,262.000,-23.159,15.256
80,262.000,-23.153,15.256
81,262.000,-23.149,15.255
82,262.000,-23.145,15.253
83,262.000,-23.140,15.251
84,262.000,-23.137,15.248
85,262.000,-23.132,15.245
86,262.000,-23.129,15.242
87,262.000,-23.126,15.239
88,262.000,-23.123,15.237
89,262.000,-23.119,15.234
90,262.000,-23.116,15.231
91,262.000,-23.113,15.229
92,262.000,-23.109,15.225
93,262.000,-23.107,15.223
94,262.000,-23.104,15.220
95,262.000,-23.101,15.216
96,262.000,-23.099,15.212
97,262.000,-23.098,15.207
98,262.000,-23.096,15.203
99,262.000,-23.095,15.200
100,262.000,-23.171,15.256
101,262.000,-23.174,15.255
102,262.000,-23.179,15.254
103,262.000,-23.183,15.252
104,262.000,-23.186,15.250
105,262.000,-23.190,15.247
106,262.000,-23.192,15.243
107,262.000,-23.194,15.240
108,262.000,-23.196,15.236
109,262.000,-23.203,15.222
110,262.000,-23.202,15.225
111,262.000,-23.200,15.228
112,262.000,-23.199,15.232
113,262.000,-23.204,15.218
114,262.000,-23.205,15.215
115,262.000,-23.207,15.212
116,262.000,-23.208,15.206
117,262.000,-23.208,15.203
118,262.000,-23.209,15.200
119,262.000,-23.209,15.196
120,262.000,-23.205,15.174
121,262.000,-23.206,15.177
122,262.000,-23.207,15.179
123,262.000,-23.208,15.182
124,262.000,-23.209,15.185
125,262.000,-23.209,15.189
126,262.000,-23.210,15.193
127,262.000,-23.204,15.171
128,262.000,-23.194,15.155
129,262.000,-23.196,15.157
130,262.000,-23.198,15.159
131,262.000,-23.199,15.162
132,262.000,-23.202,15.165
133,262.000,-23.203,15.168
134,262.000,-23.192,15.152
135,262.000,-23.173,15.135
136,262.000,-23.175,15.136
137,262.000,-23.176,15.137
138,262.000,-23.178,15.138
139,262.000,-23.180,15.140
140,262.000,-23.182,15.142
141,262.000,-23.183,15.143
142,262.000,-23.186,15.146
