id,AB (mGal),Latitud,Longitud,Latitud(º),Longitud(º
1,119.000000,39,-29,38.580,-28.635
2,119.000000,39,-29,38.577,-28.635
3,119.000000,39,-29,38.574,-28.632
4,119.000000,39,-29,38.573,-28.629
5,119.000000,39,-29,38.571,-28.625
6,119.000000,39,-29,38.570,-28.621
7,119.000000,39,-29,38.568,-28.617
8,119.000000,39,-29,38.571,-28.612
9,119.000000,39,-29,38.575,-28.612
10,119.000000,39,-29,38.582,-28.633
11,119.000000,39,-29,38.582,-28.629
12,119.000000,39,-29,38.582,-28.625
13,119.000000,39,-29,38.581,-28.620
14,119.000000,39,-29,38.581,-28.617
15,119.000000,39,-29,38.579,-28.613
16,119.000000,39,-29,38.582,-28.610
17,119.000000,39,-29,38.582,-28.612
18,119.000000,39,-29,38.585,-28.610
19,119.000000,39,-29,38.588,-28.611
20,119.000000,39,-29,38.591,-28.612
21,119.000000,39,-29,38.585,-28.608
22,119.000000,39,-29,38.586,-28.605
23,119.000000,39,-29,38.588,-28.607
24,119.000000,39,-29,38.589,-28.610
25,119.000000,39,-29,38.581,-28.653
26,119.000000,39,-29,38.584,-28.657
27,119.000000,39,-29,38.582,-28.649
28,119.000000,39,-29,38.582,-28.646
29,119.000000,39,-29,38.585,-28.655
30,119.000000,39,-29,38.585,-28.651
31,119.000000,39,-29,38.584,-28.648
32,119.000000,39,-29,38.582,-28.656
33,117.000000,39,-29,38.559,-28.612
34,117.000000,39,-29,38.560,-28.614
35,117.000000,39,-29,38.561,-28.617
36,117.000000,39,-29,38.562,-28.619
37,117.000000,39,-29,38.564,-28.620
38,117.000000,39,-29,38.566,-28.622
39,117.000000,39,-29,38.567,-28.626
40,117.000000,39,-29,38.568,-28.629
41,117.000000,39,-29,38.569,-28.632
42,117.000000,39,-29,38.570,-28.635
43,117.000000,39,-29,38.571,-28.638
44,117.000000,39,-29,38.571,-28.641
45,117.000000,39,-29,38.571,-28.644
46,117.000000,39,-29,38.571,-28.647
47,117.000000,39,-29,38.572,-28.649
48,117.000000,39,-29,38.574,-28.650
49,117.000000,39,-29,38.576,-28.652
50,117.000000,39,-29,38.576,-28.656
51,117.000000,39,-29,38.577,-28.658
52,117.000000,39,-29,38.577,-28.661
53,117.000000,39,-29,38.577,-28.665
54,117.000000,39,-29,38.579,-28.668
55,117.000000,39,-29,38.581,-28.669
56,117.000000,39,-29,38.583,-28.670
57,117.000000,39,-29,38.586,-28.668
58,117.000000,39,-29,38.588,-28.664
59,117.000000,39,-29,38.588,-28.658
60,117.000000,39,-29,38.589,-28.655
61,117.000000,39,-29,38.589,-28.651
62,117.000000,39,-29,38.589,-28.647
63,117.000000,39,-29,38.587,-28.643
64,117.000000,39,-29,38.586,-28.640
65,117.000000,39,-29,38.585,-28.636
66,117.000000,39,-29,38.585,-28.632
67,117.000000,39,-29,38.584,-28.627
68,117.000000,39,-29,38.584,-28.622
69,117.000000,39,-29,38.585,-28.618
70,117.000000,39,-29,38.588,-28.617
71,117.000000,39,-29,38.592,-28.619
72,117.000000,39,-29,38.595,-28.620
73,117.000000,39,-29,38.595,-28.617
74,117.000000,39,-29,38.595,-28.611
75,117.000000,39,-29,38.593,-28.608
76,117.000000,39,-29,38.591,-28.605
77,117.000000,39,-29,38.590,-28.601
78,116.000000,39,-29,38.555,-28.611
79,116.000000,39,-29,38.554,-28.614
80,116.000000,39,-29,38.554,-28.618
81,116.000000,39,-29,38.556,-28.621
82,116.000000,39,-29,38.558,-28.624
83,116.000000,39,-29,38.561,-28.627
84,116.000000,39,-29,38.563,-28.630
85,116.000000,39,-29,38.563,-28.634
86,116.000000,39,-29,38.564,-28.637
87,117.000000,39,-29,38.565,-28.641
88,116.000000,39,-29,38.566,-28.644
89,116.000000,39,-29,38.567,-28.647
90,116.000000,39,-29,38.568,-28.650
91,116.000000,39,-29,38.569,-28.651
92,116.000000,39,-29,38.571,-28.653
93,116.000000,39,-29,38.573,-28.655
94,116.000000,39,-29,38.574,-28.658
95,116.000000,39,-29,38.574,-28.661
96,116.000000,39,-29,38.574,-28.665
97,116.000000,39,-29,38.575,-28.668
98,116.000000,39,-29,38.576,-28.673
99,116.000000,39,-29,38.578,-28.676
100,116.000000,39,-29,38.580,-28.679
101,116.000000,39,-29,38.583,-28.680
102,116.000000,39,-29,38.586,-28.679
103,116.000000,39,-29,38.589,-28.675
104,116.000000,39,-29,38.590,-28.672
105,116.000000,39,-29,38.591,-28.668
106,116.000000,39,-29,38.591,-28.663
107,116.000000,39,-29,38.591,-28.657
108,116.000000,39,-29,38.590,-28.652
109,116.000000,39,-29,38.591,-28.647
110,116.000000,39,-29,38.590,-28.643
111,116.000000,39,-29,38.588,-28.640
112,116.000000,39,-29,38.587,-28.634
113,116.000000,39,-29,38.586,-28.630
114,116.000000,39,-29,38.586,-28.625
115,116.000000,39,-29,38.586,-28.620
116,116.000000,39,-29,38.589,-28.621
117,116.000000,39,-29,38.592,-28.622
118,116.000000,39,-29,38.596,-28.623
119,116.000000,39,-29,38.597,-28.618
120,1160.000000,39,-29,38.598,-28.613
121,116.000000,39,-29,38.597,-28.609
122,116.000000,39,-29,38.594,-28.606
123,116.000000,39,-29,38.593,-28.602
124,115.000000,39,-29,38.615,-28.648
125,115.000000,39,-29,38.614,-28.653
126,115.000000,39,-29,38.616,-28.658
127,115.000000,39,-29,38.619,-28.662
128,115.000000,39,-29,38.619,-28.668
129,115.000000,39,-29,38.614,-28.669
130,115.000000,39,-29,38.609,-28.673
131,115.000000,39,-29,38.607,-28.677
132,115.000000,39,-29,38.603,-28.683
133,115.000000,39,-29,38.598,-28.687
134,115.000000,39,-29,38.592,-28.689
135,115.000000,39,-29,38.587,-28.690
136,115.000000,39,-29,38.580,-28.691
137,115.000000,39,-29,38.575,-28.689
138,115.000000,39,-29,38.572,-28.684
139,115.000000,39,-29,38.568,-28.678
140,115.000000,39,-29,38.564,-28.673
141,115.000000,39,-29,38.562,-28.667
142,115.000000,39,-29,38.557,-28.660
143,115.000000,39,-29,38.556,-28.653
144,115.000000,39,-29,38.559,-28.648
145,115.000000,39,-29,38.559,-28.640
146,115.000000,39,-29,38.555,-28.636
147,115.000000,39,-29,38.552,-28.631
148,115.000000,39,-29,38.550,-28.625
149,115.000000,39,-29,38.548,-28.618
150,115.000000,39,-29,38.547,-28.612
151,115.000000,39,-29,38.547,-28.606
152,112.000000,39,-29,38.625,-28.661
153,112.000000,39,-29,38.626,-28.666
154,112.000000,39,-29,38.628,-28.672
155,112.000000,39,-29,38.626,-28.677
156,112.000000,39,-29,38.625,-28.681
