id,AB (mGal),Latitud,Longitud,Latitud(º),Longitud(º)
1,119.000000,39,-29,38580,-28635
2,119.000000,39,-29,38577,-28635
3,119.000000,39,-29,38574,-28632
4,119.000000,39,-29,38573,-28629
5,119.000000,39,-29,38571,-28625
6,119.000000,39,-29,38570,-28621
7,119.000000,39,-29,38568,-28617
8,119.000000,39,-29,38571,-28612
9,119.000000,39,-29,38575,-28612
10,119.000000,39,-29,38582,-28633
11,119.000000,39,-29,38582,-28629
12,119.000000,39,-29,38582,-28625
13,119.000000,39,-29,38581,-28620
14,119.000000,39,-29,38581,-28617
15,119.000000,39,-29,38579,-28613
16,119.000000,39,-29,38582,-28610
17,119.000000,39,-29,38582,-28612
18,119.000000,39,-29,38585,-28610
19,119.000000,39,-29,38588,-28611
20,119.000000,39,-29,38591,-28612
21,119.000000,39,-29,38585,-28608
22,119.000000,39,-29,38586,-28605
23,119.000000,39,-29,38588,-28607
24,119.000000,39,-29,38589,-28610
25,119.000000,39,-29,38581,-28653
26,119.000000,39,-29,38584,-28657
27,119.000000,39,-29,38582,-28649
28,119.000000,39,-29,38582,-28646
29,119.000000,39,-29,38585,-28655
30,119.000000,39,-29,38585,-28651
31,119.000000,39,-29,38584,-28648
32,119.000000,39,-29,38582,-28656
33,117.000000,39,-29,38559,-28612
34,117.000000,39,-29,38560,-28614
35,117.000000,39,-29,38561,-28617
36,117.000000,39,-29,38562,-28619
37,117.000000,39,-29,38564,-28620
38,117.000000,39,-29,38566,-28622
39,117.000000,39,-29,38567,-28626
40,117.000000,39,-29,38568,-28629
41,117.000000,39,-29,38569,-28632
42,117.000000,39,-29,38570,-28635
43,117.000000,39,-29,38571,-28638
44,117.000000,39,-29,38571,-28641
45,117.000000,39,-29,38571,-28644
46,117.000000,39,-29,38571,-28647
47,117.000000,39,-29,38572,-28649
48,117.000000,39,-29,38574,-28650
49,117.000000,39,-29,38576,-28652
50,117.000000,39,-29,38576,-28656
51,117.000000,39,-29,38577,-28658
52,117.000000,39,-29,38577,-28661
53,117.000000,39,-29,38577,-28665
54,117.000000,39,-29,38579,-28668
55,117.000000,39,-29,38581,-28669
56,117.000000,39,-29,38583,-28670
57,117.000000,39,-29,38586,-28668
58,117.000000,39,-29,38588,-28664
59,117.000000,39,-29,38588,-28658
60,117.000000,39,-29,38589,-28655
61,117.000000,39,-29,38589,-28651
62,117.000000,39,-29,38589,-28647
63,117.000000,39,-29,38587,-28643
64,117.000000,39,-29,38586,-28640
65,117.000000,39,-29,38585,-28636
66,117.000000,39,-29,38585,-28632
67,117.000000,39,-29,38584,-28627
68,117.000000,39,-29,38584,-28622
69,117.000000,39,-29,38585,-28618
70,117.000000,39,-29,38588,-28617
71,117.000000,39,-29,38592,-28619
72,117.000000,39,-29,38595,-28620
73,117.000000,39,-29,38595,-28617
74,117.000000,39,-29,38595,-28611
75,117.000000,39,-29,38593,-28608
76,117.000000,39,-29,38591,-28605
77,117.000000,39,-29,38590,-28601
78,116.000000,39,-29,38555,-28611
79,116.000000,39,-29,38554,-28614
80,116.000000,39,-29,38554,-28618
81,116.000000,39,-29,38556,-28621
82,116.000000,39,-29,38558,-28624
83,116.000000,39,-29,38561,-28627
84,116.000000,39,-29,38563,-28630
85,116.000000,39,-29,38563,-28634
86,116.000000,39,-29,38564,-28637
87,117.000000,39,-29,38565,-28641
88,116.000000,39,-29,38566,-28644
89,116.000000,39,-29,38567,-28647
90,116.000000,39,-29,38568,-28650
91,116.000000,39,-29,38569,-28651
92,116.000000,39,-29,38571,-28653
93,116.000000,39,-29,38573,-28655
94,116.000000,39,-29,38574,-28658
95,116.000000,39,-29,38574,-28661
96,116.000000,39,-29,38574,-28665
97,116.000000,39,-29,38575,-28668
98,116.000000,39,-29,38576,-28673
99,116.000000,39,-29,38578,-28676
100,116.000000,39,-29,38580,-28679
101,116.000000,39,-29,38583,-28680
102,116.000000,39,-29,38586,-28679
103,116.000000,39,-29,38589,-28675
104,116.000000,39,-29,38590,-28672
105,116.000000,39,-29,38591,-28668
106,116.000000,39,-29,38591,-28663
107,116.000000,39,-29,38591,-28657
108,116.000000,39,-29,38590,-28652
109,116.000000,39,-29,38591,-28647
110,116.000000,39,-29,38590,-28643
111,116.000000,39,-29,38588,-28640
112,116.000000,39,-29,38587,-28634
113,116.000000,39,-29,38586,-28630
114,116.000000,39,-29,38586,-28625
115,116.000000,39,-29,38586,-28620
116,116.000000,39,-29,38589,-28621
117,116.000000,39,-29,38592,-28622
118,116.000000,39,-29,38596,-28623
119,116.000000,39,-29,38597,-28618
120,1160.000000,39,-29,38598,-28613
121,116.000000,39,-29,38597,-28609
122,116.000000,39,-29,38594,-28606
123,116.000000,39,-29,38593,-28602
124,115.000000,39,-29,38615,-28648
125,115.000000,39,-29,38614,-28653
126,115.000000,39,-29,38616,-28658
127,115.000000,39,-29,38619,-28662
128,115.000000,39,-29,38619,-28668
129,115.000000,39,-29,38614,-28669
130,115.000000,39,-29,38609,-28673
131,115.000000,39,-29,38607,-28677
132,115.000000,39,-29,38603,-28683
133,115.000000,39,-29,38598,-28687
134,115.000000,39,-29,38592,-28689
135,115.000000,39,-29,38587,-28690
136,115.000000,39,-29,38580,-28691
137,115.000000,39,-29,38575,-28689
138,115.000000,39,-29,38572,-28684
139,115.000000,39,-29,38568,-28678
140,115.000000,39,-29,38564,-28673
141,115.000000,39,-29,38562,-28667
142,115.000000,39,-29,38557,-28660
143,115.000000,39,-29,38556,-28653
144,115.000000,39,-29,38559,-28648
145,115.000000,39,-29,38559,-28640
146,115.000000,39,-29,38555,-28636
147,115.000000,39,-29,38552,-28631
148,115.000000,39,-29,38550,-28625
149,115.000000,39,-29,38548,-28618
150,115.000000,39,-29,38547,-28612
151,115.000000,39,-29,38547,-28606
152,112.000000,39,-29,38625,-28661
153,112.000000,39,-29,38626,-28666
154,112.000000,39,-29,38628,-28672
155,112.000000,39,-29,38626,-28677
156,112.000000,39,-29,38625,-28681
157,112.000000,39,-29,38622,-28685
158,112.000000,39,-29,38615,-28686
159,112.000000,39,-29,38610,-28687
160,112.000000,39,-29,38607,-28691
161,112.000000,39,-29,38601,-28695
162,112.000000,39,-29,38597,-28699
163,112.000000,39,-29,38594,-28700
164,112.000000,39,-29,38588,-28696
165,112.000000,39,-29,38585,-28693
166,112.000000,39,-29,38577,-28693
167,112.000000,39,-29,38572,-28693
168,112.000000,39,-29,38568,-28689
169,112.000000,39,-29,38565,-28683
170,112.000000,39,-29,38562,-28679
171,112.000000,39,-29,38559,-28673
172,112.000000,39,-29,38557,-28667
173,112.000000,39,-29,38553,-28662
