id,AB (mGal),Longitud,Latitud
1,117.000000,-28.493,38.485
2,117.000000,-28.490,38.486
3,117.000000,-28.487,38.487
4,117.000000,-28.485,38.489
5,117.000000,-28.495,38.486
6,117.000000,-28.498,38.486
7,117.000000,-28.501,38.488
8,117.000000,-28.503,38.489
9,117.000000,-28.504,38.492
10,117.000000,-28.504,38.495
11,117.000000,-28.503,38.498
12,117.000000,-28.501,38.499
13,117.000000,-28.497,38.499
14,117.000000,-28.494,38.498
15,117.000000,-28.493,38.496
16,117.000000,-28.489,38.495
17,117.000000,-28.486,38.496
18,117.000000,-28.483,38.495
19,117.000000,-28.482,38.492
20,117.000000,-28.424,38.514
21,117.000000,-28.424,38.516
22,117.000000,-28.422,38.517
23,117.000000,-28.420,38.516
24,117.000000,-28.421,38.513
25,117.000000,-28.519,38.497
26,117.000000,-28.519,38.499
27,117.000000,-28.517,38.497
28,118.000000,-28.493,38.480
29,118.000000,-28.489,38.481
30,118.000000,-28.486,38.483
31,118.000000,-28.483,38.485
32,118.000000,-28.479,38.486
33,118.000000,-28.474,38.488
34,118.000000,-28.470,38.489
35,118.000000,-28.497,38.482
36,118.000000,-28.501,38.483
37,118.000000,-28.422,38.508
38,118.000000,-28.427,38.509
39,118.000000,-28.430,38.510
40,118.000000,-28.435,38.513
41,118.000000,-28.438,38.517
42,118.000000,-28.441,38.520
43,118.000000,-28.443,38.524
44,118.000000,-28.437,38.526
45,118.000000,-28.431,38.522
46,118.000000,-28.425,38.522
47,118.000000,-28.421,38.525
48,118.000000,-28.416,38.523
49,118.000000,-28.414,38.517
50,118.000000,-28.414,38.512
51,118.000000,-28.417,38.508
52,118.000000,-28.507,38.481
53,118.000000,-28.510,38.482
54,118.000000,-28.513,38.486
55,118.000000,-28.514,38.491
56,118.000000,-28.519,38.491
57,118.000000,-28.526,38.493
58,118.000000,-28.530,38.497
59,118.000000,-28.525,38.500
60,118.000000,-28.517,38.502
61,118.000000,-28.510,38.501
62,118.000000,-28.506,38.501
63,118.000000,-28.499,38.503
64,118.000000,-28.493,38.502
65,118.000000,-28.487,38.500
66,118.000000,-28.480,38.498
67,118.000000,-28.478,38.495
68,118.000000,-28.476,38.492
69,118.000000,-28.472,38.491
70,119.000000,-28.446,38.516
71,119.000000,-28.448,38.520
72,119.000000,-28.449,38.527
73,119.000000,-28.445,38.530
74,119.000000,-28.439,38.529
75,119.000000,-28.432,38.528
76,119.000000,-28.426,38.527
77,119.000000,-28.418,38.528
78,119.000000,-28.412,38.525
79,119.000000,-28.411,38.520
80,119.000000,-28.408,38.513
81,119.000000,-28.410,38.508
82,119.000000,-28.414,38.504
83,119.000000,-28.422,38.503
84,119.000000,-28.426,38.505
85,119.000000,-28.431,38.506
86,119.000000,-28.436,38.508
87,119.000000,-28.441,38.511
88,119.000000,-28.533,38.483
89,119.000000,-28.528,38.484
90,119.000000,-28.521,38.482
91,119.000000,-28.514,38.479
92,119.000000,-28.507,38.477
93,119.000000,-28.500,38.477
94,119.000000,-28.491,38.476
95,119.000000,-28.487,38.478
96,119.000000,-28.483,38.480
97,119.000000,-28.477,38.483
98,119.000000,-28.472,38.485
99,119.000000,-28.466,38.489
100,119.000000,-28.540,38.494
101,119.000000,-28.536,38.497
102,119.000000,-28.530,38.501
103,119.000000,-28.525,38.503
104,119.000000,-28.519,38.505
105,119.000000,-28.512,38.505
106,119.000000,-28.507,38.505
107,119.000000,-28.501,38.506
108,119.000000,-28.495,38.507
109,119.000000,-28.490,38.505
110,119.000000,-28.485,38.505
111,119.000000,-28.480,38.503
112,119.000000,-28.475,38.500
113,119.000000,-28.471,38.499
114,119.000000,-28.467,38.496
115,119.000000,-28.465,38.493
116,120.000000,-28.465,38.516
117,120.000000,-28.467,38.522
118,120.000000,-28.467,38.528
119,120.000000,-28.462,38.532
120,120.000000,-28.456,38.534
121,120.000000,-28.447,38.534
122,120.000000,-28.441,38.533
123,120.000000,-28.433,38.531
124,120.000000,-28.427,38.531
125,120.000000,-28.419,38.532
126,120.000000,-28.414,38.533
127,120.000000,-28.409,38.529
128,120.000000,-28.406,38.523
129,120.000000,-28.402,38.518
130,120.000000,-28.398,38.515
131,120.000000,-28.400,38.510
132,120.000000,-28.405,38.506
133,120.000000,-28.410,38.504
134,120.000000,-28.416,38.500
135,120.000000,-28.421,38.500
136,120.000000,-28.426,38.501
137,120.000000,-28.430,38.502
138,120.000000,-28.459,38.517
139,120.000000,-28.456,38.511
140,120.000000,-28.450,38.508
141,120.000000,-28.445,38.509
142,120.000000,-28.439,38.507
143,120.000000,-28.436,38.503
144,120.000000,-28.540,38.502
145,120.000000,-28.533,38.504
146,120.000000,-28.526,38.506
147,120.000000,-28.520,38.509
148,120.000000,-28.511,38.509
149,120.000000,-28.526,38.471
150,120.000000,-28.522,38.475
151,120.000000,-28.513,38.474
152,120.000000,-28.504,38.471
153,120.000000,-28.492,38.474
154,120.000000,-28.496,38.472
155,120.000000,-28.486,38.473
156,120.000000,-28.482,38.475
