id,AB,Longitud,Latitud
1,200.000000,-25176,37795
2,200.000000,-25175,37795
3,200.000000,-25174,37796
4,200.000000,-25174,37797
5,200.000000,-25174,37798
6,200.000000,-25175,37799
7,200.000000,-25176,37799
8,200.000000,-25177,37798
9,200.000000,-25178,37798
10,200.000000,-25178,37796
11,200.000000,-25177,37795
12,200.000000,-25177,37795
13,200.000000,-25204,37780
14,200.000000,-25203,37780
15,200.000000,-25201,37781
16,200.000000,-25200,37782
17,200.000000,-25198,37782
18,200.000000,-25196,37783
19,200.000000,-25195,37785
20,200.000000,-25194,37786
21,200.000000,-25193,37787
22,200.000000,-25191,37788
23,200.000000,-25191,37789
24,200.000000,-25191,37790
25,200.000000,-25192,37791
26,200.000000,-25193,37793
27,200.000000,-25193,37794
28,200.000000,-25194,37796
29,200.000000,-25194,37797
30,200.000000,-25194,37798
31,200.000000,-25195,37799
32,200.000000,-25196,37800
33,200.000000,-25197,37802
34,200.000000,-25198,37802
35,200.000000,-25200,37802
36,200.000000,-25202,37802
37,200.000000,-25203,37801
38,200.000000,-25205,37800
39,200.000000,-25206,37799
40,200.000000,-25208,37799
41,200.000000,-25209,37798
42,200.000000,-25211,37797
43,200.000000,-25212,37795
44,200.000000,-25212,37793
45,200.000000,-25212,37791
46,200.000000,-25212,37789
47,200.000000,-25212,37788
48,200.000000,-25212,37786
49,200.000000,-25211,37785
50,200.000000,-25210,37784
51,200.000000,-25208,37783
52,200.000000,-25207,37782
53,200.000000,-25205,37781
54,195.000000,-25152,37870
55,195.000000,-25154,37870
56,195.000000,-25155,37871
57,195.000000,-25157,37872
58,195.000000,-25158,37872
59,195.000000,-25159,37872
60,195.000000,-25160,37870
61,195.000000,-25160,37869
62,195.000000,-25160,37867
63,195.000000,-25160,37865
64,195.000000,-25160,37864
65,195.000000,-25160,37862
66,195.000000,-25160,37860
67,195.000000,-25160,37858
68,195.000000,-25159,37856
69,195.000000,-25158,37855
70,195.000000,-25157,37854
71,195.000000,-25155,37853
72,195.000000,-25154,37851
73,195.000000,-25153,37849
74,195.000000,-25152,37847
75,195.000000,-25154,37847
