"ID,N,10,0",AB,LONGITUD,LATITUD
1,"140,5","-27,08734","38,67658"
2,"140,5","-27,08717","38,677042"
3,"140,5","-27,08688","38,67742"
4,"140,5","-27,08717","38,677882"
5,"140,5","-27,08751","38,678302"
6,"140,5","-27,08793","38,678554"
7,"140,5","-27,08843","38,678512"
8,"140,5","-27,08902","38,67826"
9,"140,5","-27,08902","38,67763"
10,"140,5","-27,08877","38,67721"
11,"140,5","-27,08835","38,676748"
12,"140,5","-27,0828","38,672004"
13,"140,5","-27,08263","38,672382"
14,"140,5","-27,08217","38,672717"
15,"140,5","-27,08159","38,672717"
16,"140,5","-27,08776","38,676245"
17,"140,5","-27,08096","38,672717"
18,"140,5","-27,08033","38,672969"
19,"140,5","-27,07978","38,673011"
20,"140,5","-27,07923","38,672927"
21,"140,5","-27,07881","38,672675"
22,"140,5","-27,07831","38,672298"
23,"140,5","-27,07839","38,671752"
24,"140,5","-27,07873","38,671206"
25,"140,5","-27,0797","38,67108"
26,"140,5","-27,08049","38,67108"
27,"140,5","-27,08104","38,671164"
28,"140,5","-27,08171","38,671248"
29,"140,5","-27,08234","38,671542"
30,"140,5","-27,09439","38,681115"
31,"140,5","-27,09435","38,680653"
32,"140,5","-27,09393","38,680359"
33,"140,5","-27,09347","38,680233"
34,"140,5","-27,0933","38,679604"
35,"140,5","-27,09376","38,680779"
36,140,"-27,10103","38,681535"
37,140,"-27,10031","38,681745"
38,140,"-27,09951","38,681787"
39,140,"-27,09872","38,681619"
40,140,"-27,09804","38,681073"
41,140,"-27,09716","38,680695"
42,140,"-27,09645","38,680275"
43,140,"-27,09557","38,679562"
44,140,"-27,09485","38,67889"
45,140,"-27,09406","38,678344"
46,140,"-27,09309","38,678008"
47,140,"-27,09212","38,677714"
48,140,"-27,09154","38,677126"
49,140,"-27,09091","38,67637"
50,140,"-27,09044","38,675657"
51,140,"-27,08961","38,674901"
52,140,"-27,08856","38,674313"
53,140,"-27,08759","38,674103"
54,140,"-27,08654","38,673641"
55,140,"-27,08553","38,673683"
56,140,"-27,0849","38,673179"
57,140,"-27,08423","38,673011"
58,140,"-27,08406","38,672382"
59,140,"-27,08352","38,671668"
60,140,"-27,08272","38,671164"
61,140,"-27,08205","38,67066"
62,140,"-27,08108","38,670366"
63,140,"-27,08028","38,670072"
64,140,"-27,07949","38,66982"
65,140,"-27,07852","38,669652"
66,140,"-27,07772","38,669652"
67,140,"-27,09158","38,685356"
68,140,"-27,09187","38,6846"
69,140,"-27,1001","38,670534"
70,140,"-27,09196","38,68376"
71,140,"-27,09196","38,682921"
72,140,"-27,09162","38,682165"
73,140,"-27,09099","38,681619"
74,140,"-27,08998","38,681745"
75,140,"-27,0894","38,682123"
76,140,"-27,08877","38,682921"
77,140,"-27,0883","38,683425"
78,140,"-27,08793","38,68397"
79,140,"-27,08751","38,6846"
80,140,"-27,08679","38,685146"
81,140,"-27,08805","38,68481"
82,140,"-27,08801","38,68544"
83,140,"-27,08713","38,683383"
84,140,"-27,08637","38,682837"
85,140,"-27,1001","38,670534"
86,140,"-27,08541","38,682417"
87,140,"-27,0849","38,681745"
88,140,"-27,0844","38,681073"
89,140,"-27,08427","38,680191"
90,140,"-27,08415","38,679226"
91,140,"-27,08389","38,678386"
92,140,"-27,08373","38,677462"
93,140,"-27,08347","38,676412"
94,140,"-27,08339","38,675531"
95,140,"-27,08297","38,674481"
96,140,"-27,08272","38,673725"
97,140,"-27,08171","38,673725"
98,140,"-27,08058","38,673767"
99,140,"-27,07953","38,673683"
100,140,"-27,07848","38,673473"
101,140,"-27,07726","38,673179"
102,140,"-27,07667","38,672466"
103,140,"-27,07659","38,671668"
104,140,"-27,07684","38,670912"
105,140,"-27,07726","38,67024"
106,"139,5","-27,08087","38,685104"
108,"139,5","-27,08079","38,684264"
107,"139,5","-27,08104","38,683425"
110,"139,5","-27,08154","38,682627"
109,"139,5","-27,08213","38,681829"
112,"139,5","-27,08243","38,681073"
111,"139,5","-27,08238","38,680107"
115,"139,5","-27,08175","38,679436"
113,"139,5","-27,08192","38,678554"
116,"139,5","-27,08222","38,677504"
114,"139,5","-27,08188","38,676664"
117,"139,5","-27,08133","38,675699"
118,"139,5","-27,08033","38,674901"
119,"139,5","-27,07932","38,674355"
120,"139,5","-27,07831","38,673935"
121,"139,5","-27,07734","38,673725"
122,"139,5","-27,07617","38,673389"
123,"139,5","-27,0747","38,673347"
124,"139,5","-27,07365","38,672843"
125,"139,5","-27,07294","38,672046"
126,"139,5","-27,07226","38,671164"
127,"139,5","-27,07285","38,670324"
128,"139,5","-27,07336","38,669316"
129,"139,5","-27,07428","38,668771"
130,"139,5","-27,07499","38,668225"
131,"139,5","-27,07596","38,667973"
132,"139,5","-27,07688","38,668015"
133,"139,5","-27,07768","38,667973"
134,"139,5","-27,07877","38,668309"
135,"139,5","-27,07982","38,668771"
136,"139,5","-27,08058","38,669274"
137,"139,5","-27,08125","38,66961"
138,"139,5","-27,09506","38,67658"
139,"139,5","-27,09418","38,676622"
140,"139,5","-27,09338","38,676538"
141,"139,5","-27,09267","38,676077"
142,"139,5","-27,09179","38,675615"
143,"139,5","-27,0917","38,674649"
144,"139,5","-27,0912","38,673977"
145,"139,5","-27,09002","38,673683"
146,"139,5","-27,08872","38,673683"
147,"139,5","-27,08772","38,673641"
148,"139,5","-27,08675","38,673347"
149,"139,5","-27,08591","38,673095"
150,"139,5","-27,08524","38,672759"
151,"139,5","-27,08461","38,67213"
152,"139,5","-27,08389","38,671374"
153,"139,5","-27,08318","38,670744"
154,"139,5","-27,08238","38,670156"
155,"139,5","-27,09502","38,675867"
156,"139,5","-27,09448","38,675153"
157,"139,5","-27,09397","38,674439"
158,"139,5","-27,09343","38,673641"
159,"139,5","-27,09259","38,672885"
160,"139,5","-27,09322","38,671164"
161,"139,5","-27,09238","38,671836"
162,"139,5","-27,0975","38,669022"
163,"139,5","-27,09565","38,668813"
164,"139,5","-27,09473","38,669652"
165,"139,5","-27,09385","38,670408"
166,"139,5","-27,09804","38,669694"
167,"139,5","-27,09834","38,670912"
168,"139,5","-27,09842","38,672004"
169,"139,5","-27,09821","38,673053"
170,"139,5","-27,09758","38,673935"
171,"139,5","-27,10027","38,681199"
172,"139,5","-27,1014","38,681073"
173,"139,5","-27,09935","38,681073"
174,"139,5","-27,09855","38,680569"
175,"139,5","-27,09775","38,679772"
176,"139,5","-27,09708","38,679058"
177,"139,5","-27,09632","38,678302"
178,"139,5","-27,09599","38,677462"
179,"139,5","-27,09641","38,676538"
180,"139,5","-27,0967","38,675699"
181,"139,5","-27,09725","38,674859"
182,"139,5","-27,0967","38,668561"
183,139,"-27,10056","38,679856"
184,139,"-27,09972","38,679226"
185,139,"-27,09918","38,678386"
186,139,"-27,09863","38,677126"
187,139,"-27,09863","38,675993"
188,139,"-27,09876","38,675069"
189,139,"-27,09926","38,673935"
190,139,"-27,09972","38,672592"
191,139,"-27,09968","38,671458"
192,139,"-27,09947","38,66982"
193,139,"-27,09926","38,668435"
194,139,"-27,10103","38,680401"
195,139,"-27,09909","38,667469"
196,139,"-27,09947","38,666377"
197,139,"-27,09993","38,665369"
198,139,"-27,10098","38,66474"
199,139,"-27,10229","38,66495"
200,139,"-27,10346","38,664446"
201,139,"-27,10464","38,664026"
202,139,"-27,10434","38,66306"
203,139,"-27,1051","38,662178"
204,139,"-27,10443","38,661171"
