 GravityCumbreVieja_FGMontesinos_et_al.dat
 
 Land gravity anomaly values used in this study are provided as supplementary data for the peer-review purpose. 
 Upon acceptance, this dataset will be available from the Zenodo repository (https://doi.org/ doi:10.5281/zenodo.7539248).
 
 Insights into the magmatic feeding system of the 2021 eruption at Cumbre Vieja (La Palma, Canary Islands) inferred from gravity data modeling 
F. G. Montesinos (1,7), S. Sainz-Maza (2,7), D. Gómez-Ortiz (3), J. Arnoso (4,7), I. Blanco-Montenegro (5,7), M. Benavent (1,7), E. Vélez (4,7), N. Sánchez (6) and T. Martín-Crespo (3)



1 Facultad de CC. Matemáticas, Universidad Complutense de Madrid. Plaza de Ciencias 3, 28040 Madrid, Spain.
2 Observatorio Geofísico Central (IGN). C/ Alfonso XII, 3. 28014 Madrid, Spain.
3 Dpt. Biología y Geología, Física y Química Inorgánica, ESCET, Universidad Rey Juan Carlos. C/Tulipán s/n, 28933 Móstoles, Madrid, Spain.
4 Instituto de Geociencias (IGEO), CSIC-UCM. C/ Doctor Severo Ochoa, 7. 28040 Madrid, Spain.
5 Departamento de Física, Escuela Politécnica Superior, Universidad de Burgos. Avda. de Cantabria s/n, 09006 Burgos, Spain.
6 Instituto Geológico y Minero de España (IGME, CSIC), Unidad Territorial de Canarias, Alonso Alvarado, 43, 2A, 35003 Las Palmas de Gran Canaria, Spain.
7 Research Group ‘Geodesia’, Universidad Complutense de Madrid, Spain.


Corresponding author: Fuensanta G. Montesinos (fuensant@ucm.es)
This research is supported by the project PID2019-104726GB-I00/AEI/10.13039/501100011033 funded by the Spanish Research Agency.
Further, the University Complutense of Madrid (grants Financiación Grupos 2021, UCM 2022-GRFN14/22) and the Spanish Ministry of 
Science and In-novation (RD 1078/2021, funding for research activities of the CSIC-PIE project CSIC-LAPALMA-07) supported this research.

------------------------------------------------------------------------------------------------
Responsible Researchers: 
- Fuensanta González Montesinos, Facultad de CC. Matemáticas, Universidad Complutense de Madrid. Spain
fuensant@ucm.es

-  José Arnoso Sampedro,  Instituto de Geociencias (CSIC-UCM), Spain
jose.arnoso@csic.es



>> The use of this data set is limited to academic or research purposes and it should be referenced


Zone:Cumbre Vieja (La Palma Island, Spain)
Geodetic Coordinates. Datum WGS84
Gravity(mGal) and Bouguer Gravity anomaly GRS80 (mGal)(Terrain density 2450 kg/m3)


     Coords             H      Obs Grav    Boug+topo Anomaly
    LON      LAT        mts      mGal       mGal
-17.91298  28.65926   343.309  979389.08    262.19  
-17.93485  28.66156    78.827  979437.81    261.50  
-17.94394  28.64767     5.407  979451.53    255.65  
-17.92628  28.64890   235.055  979404.60    255.66  
-17.92881  28.63207    98.180  979426.79    250.45  
-17.91510  28.63261   272.656  979387.20    247.22  
-17.90733  28.64049   310.399  979387.36    254.56  
-17.91684  28.64410   280.956  979393.99    254.48  
-17.90506  28.63975   344.838  979379.18    253.77  
-17.88475  28.62419   524.791  979331.14    246.94  
-17.90049  28.64842   404.922  979371.44    258.34  
-17.90508  28.61893   319.730  979373.33    245.19  
-17.86991  28.55823   730.510  979247.10    226.30  
-17.85169  28.47499   379.264  979302.01    213.62  
-17.85084  28.47573   371.916  979304.26    213.36  
-17.84620  28.47863   416.152  979295.23    213.40  
-17.85391  28.48286   478.899  979277.62    213.45  
-17.85373  28.49028   492.101  979281.04    216.16  
-17.85849  28.50022   469.321  979288.54    218.62  
-17.86661  28.50760   298.175  979327.88    219.65  
-17.86686  28.50052   179.989  979353.38    220.53  
-17.87212  28.50701    91.959  979374.81    219.98  
-17.87747  28.52700    25.243  979390.79    221.73  
-17.87046  28.49089    27.950  979387.75    218.84  
-17.86569  28.47953    29.800  979385.94    218.59  
-17.86109  28.46891    41.603  979380.42    217.42  
-17.86033  28.51859   766.836  979223.62    220.45  
-17.87989  28.58719   616.602  979288.74    233.26  
-17.87344  28.57177   672.353  979265.91    229.96  
-17.86784  28.54456   746.223  979235.48    222.67  
-17.86335  28.52654   778.545  979218.91    219.13  
-17.85022  28.46051    30.605  979378.80    213.93  
-17.83821  28.46117    58.808  979370.79    210.56  
-17.84313  28.45536    18.574  979377.94    211.18  
-17.84232  28.46395   165.425  979347.74    211.23  
-17.83692  28.47365   263.409  979329.12    213.46  
-17.83183  28.48631   400.303  979298.58    213.13  
-17.82575  28.50371   590.160  979256.45    213.57  
-17.88379  28.61595   546.671  979320.58    242.81  
-17.89538  28.60626   425.043  979341.99    238.98  
-17.89112  28.59756   493.266  979322.66    236.62  
-17.88976  28.58908   444.597  979330.10    235.54  
-17.87577  28.60981   666.862  979288.99    239.61  
-17.87346  28.62424   733.634  979284.94    246.60  
-17.87724  28.63789   692.702  979307.03    256.69  
-17.85721  28.65230   819.541  979293.78    268.77  
-17.84815  28.63969   938.169  979257.70    261.14  
