Longitude,Latitude,Elevation_m,ObsGravity_mGal,NormalGravity_mGal,FreeAir_mGal,Bouguer_Simple_2.6_mGal,Bouguer_Completa_2.6_mGal,Bouguer_Completa_2.3_mGal,Bouguer_Completa_2.5_mGal,Bouguer_Completa_2.7_mGal
-13.533457317672747,28.97125669077262,13.0,979431.2,979241.1105240677,190.08947593229823,188.67224193229822,208.164852159866,204.71172025347107,207.0138081910677,209.31589612866435
-13.52302511762841,28.98249521607527,20.0,979429.68,979239.8099985473,189.87000145274214,187.68964145274214,207.85437733209625,204.41845341027107,206.70906935815452,208.99968530603795
-13.503885684378597,28.993067692469538,26.0,979413.775,979238.7673684951,175.0076315049082,172.17316350490822,193.071857909119,189.62054867919426,191.92142149914406,194.22229431909392
-13.50080820617701,29.013563722349843,38.0,979416.525,979236.632981274,179.89201872597914,175.74933472597914,197.8464385119075,194.41598710315486,196.70295470898995,198.98992231482504
-13.52041979592998,29.031378568784096,143.0,979409.138,979205.5882638909,203.54973610909656,187.96016210909656,221.33568521398192,217.93384376220746,220.20173806339045,222.4696323645734
-13.509797188125305,29.043895136837406,147.0,979399.778,979205.3129462864,194.46505371364765,178.43940771364765,212.24968379424254,208.84716363665564,211.11551040838023,213.38385718010485
-13.497221204865102,29.055657960225396,134.0,979394.492,979210.227244214,184.2647557859309,169.65634378593091,202.0297548150884,198.63004292558185,200.89651751858622,203.1629921115906
-13.485587746646802,29.066690167843007,103.0,979394.273,979220.6416403145,173.63135968556162,162.4025056855616,191.29785703520366,187.91675590810576,190.17082332617102,192.42489074423628
-13.476114336392355,29.080155289159176,95.0,979391.416,979224.1437392363,167.27226076368243,156.91555076368243,183.58219469919487,180.44628169496562,182.5368903644518,184.62749903393797
-13.469806886893178,29.09334898888423,62.0,979397.584,979235.3419479344,162.24205206567422,155.4829360656742,164.876587398827,164.28371858591387,164.6789644611893,165.07421033646472
-13.467053340774216,29.11276451658166,35.0,979407.743,979245.1661761147,162.57682388531975,158.76119388531976,170.16939866279014,169.06941086674993,169.8027360641101,170.53606126147022
-13.467230328076543,29.125084431777456,12.0,979414.172,979253.2115356773,160.96046432270668,159.6522483227067,173.2950221888959,171.6660697799832,172.75203805259167,173.83800632520015
