===========================================
EST.	  E (m)	    N (m)	      Lon(º)	  Lat(º)	ho(m)	  Abs (mGal)	BO (mGal)	Error (mGal)
===========================================================================================
TENE001	329524.64	3128255.10	-16.7380	28.2693	1711.7	979059.534	242.765	0.005
TENE002	330676.61	3127981.48	-16.7263	28.2669	1870.3	979023.973	242.308	0.005
TENE003	331188.37	3127949.80	-16.7210	28.2667	1928.2	979013.747	244.749	0.005
TENE004	332315.25	3127840.72	-16.7095	28.2659	2072.7	978984.420	247.465	0.005
TENE005	332188.19	3127598.70	-16.7108	28.2637	2070.0	978983.940	246.618	0.005
TENE006	331150.60	3127708.73	-16.7214	28.2645	1923.7	979014.631	244.906	0.006
TENE007	331565.88	3126617.81	-16.7170	28.2548	1933.8	979015.210	248.528	0.005
TENE008	329241.47	3129032.78	-16.7410	28.2762	1675.7	979064.772	239.527	0.009
TENE009	328271.35	3129185.32	-16.7509	28.2775	1623.9	979073.629	238.086	0.009
TENE010	329316.44	3127150.90	-16.7400	28.2593	1656.4	979073.548	246.071	0.009
TENE011	330290.01	3129078.68	-16.7303	28.2768	1787.9	979043.098	242.091	0.009
TENE012	327194.82	3130046.61	-16.7620	28.2851	1463.0	979112.706	240.649	0.009
TENE013	327963.64	3127046.30	-16.7538	28.2581	1464.0	979114.542	245.798	0.010
TENE014	327136.27	3126971.87	-16.7622	28.2574	1366.9	979132.928	243.574	0.008
TENE015	327156.73	3128038.89	-16.7621	28.2670	1417.2	979124.363	244.456	0.008
TENE016	327281.41	3128986.90	-16.7610	28.2756	1485.6	979105.580	239.653	0.009
TENE017	329319.29	3126188.85	-16.7398	28.2506	1603.0	979085.788	248.038	0.018
TENE018	330066.02	3126181.46	-16.7322	28.2506	1698.3	979066.422	248.968	0.011
TENE019	331333.18	3124950.92	-16.7191	28.2397	1769.1	979057.050	256.538	0.005
TENE020	332363.69	3126060.13	-16.7088	28.2498	2016.5	979001.071	252.700	0.006
TENE021	326469.57	3128154.21	-16.7691	28.2679	1354.8	979136.457	243.244	0.001
TENE022	326398.05	3127021.44	-16.7697	28.2577	1283.0	979149.801	242.495	0.010
TENE023	325328.55	3128100.02	-16.7808	28.2673	1210.1	979164.937	241.086	0.004
TENE024	324936.96	3130156.22	-16.7851	28.2858	1258.2	979158.122	242.821	0.015
TENE025	325709.12	3131092.46	-16.7773	28.2944	1303.7	979146.466	240.236	0.016
TENE026	326785.87	3130729.77	-16.7663	28.2912	1418.4	979121.103	239.134	0.022
TENE027	327207.18	3131836.38	-16.7622	28.3013	1405.4	979121.432	235.889	0.015
TENE028	324982.03	3128755.72	-16.7844	28.2732	1205.7	979166.466	241.068	0.015
TENE029	326585.46	3128899.53	-16.7681	28.2747	1388.8	979128.194	241.684	0.005
TENE030	326282.78	3130005.64	-16.7713	28.2846	1397.8	979125.603	240.161	0.004
TENE031	327885.66	3129854.80	-16.7550	28.2835	1561.3	979088.063	237.996	0.004
TENE032	328254.23	3130780.44	-16.7514	28.2919	1513.1	979100.091	238.705	0.004
TENE033	325032.16	3130424.14	-16.7841	28.2882	1268.3	979155.539	242.078	0.042
TENE034	324838.07	3131629.55	-16.7863	28.2991	1226.2	979165.752	242.298	0.042
TENE035	324348.48	3132021.40	-16.7914	28.3026	1186.5	979175.943	243.875	0.042
TENE036	324637.61	3133064.50	-16.7886	28.3120	1173.3	979177.796	242.533	0.042
TENE037	325345.93	3132940.98	-16.7813	28.3110	1220.2	979165.125	240.165	0.042
TENE038	325381.60	3131900.83	-16.7808	28.3016	1313.2	979144.895	240.510	0.042
TENE039	326110.52	3131572.02	-16.7733	28.2987	1349.7	979136.749	239.771	0.042
TENE040	328537.99	3126317.59	-16.7478	28.2517	1496.4	979108.088	247.200	0.003
TENE041	323381.95	3134236.96	-16.8015	28.3224	1060.1	979203.044	244.051	0.009
TENE042	323273.00	3135085.36	-16.8028	28.3301	 981.4	979218.639	243.157	0.007
TENE043	323784.67	3134277.50	-16.7974	28.3228	1123.2	979187.203	241.997	0.008
TENE044	324979.11	3134070.25	-16.7852	28.3211	1186.7	979170.465	238.590	0.010
TENE045	322031.06	3132255.49	-16.8150	28.3044	 955.4	979227.392	247.587	0.008
TENE046	323397.24	3132631.83	-16.8011	28.3079	1027.4	979212.910	247.032	0.009
TENE047	322552.59	3133019.08	-16.8098	28.3113	1140.0	979186.725	247.503	0.008
TENE048	322951.79	3132033.32	-16.8056	28.3025	 987.9	979220.364	246.268	0.008
TENE049	321922.80	3130991.37	-16.8159	28.2929	 916.3	979231.075	243.422	0.008
TENE050	321927.75	3129949.44	-16.8157	28.2835	 808.4	979250.427	241.344	0.006
TENE051	321786.60	3129501.57	-16.8171	28.2795	 734.2	979264.804	240.376	0.006
TENE052	322661.76	3130810.71	-16.8084	28.2914	 928.6	979229.984	244.374	0.007
TENE053	323179.67	3130146.83	-16.8030	28.2855	 971.3	979217.967	242.331	0.003
TENE054	323719.57	3129770.82	-16.7974	28.2822	1044.9	979202.330	242.638	0.006
TENE055	322955.80	3128886.66	-16.8051	28.2741	 983.2	979207.420	236.847	0.005
TENE056	323396.76	3129242.51	-16.8006	28.2774	1065.7	979194.118	239.917	0.006
TENE057	330621.00	3127591.04	-16.7268	28.2634	1847.9	979030.754	244.527	0.006
TENE058	329229.38	3130849.47	-16.7414	28.2926	1603.2	979078.721	237.007	0.027
TENE059	330202.04	3131088.19	-16.7315	28.2949	1676.6	979061.049	235.277	0.027
TENE060	331072.78	3131199.87	-16.7227	28.2960	1700.4	979057.297	236.612	0.027
TENE061	330172.95	3130290.63	-16.7317	28.2877	1737.4	979050.253	237.737	0.027
TENE062	330922.80	3130038.30	-16.7240	28.2855	1805.1	979036.619	239.089	0.027
TENE063	328616.88	3130146.78	-16.7476	28.2862	1638.5	979071.231	238.010	0.028
TENE064	327658.64	3135499.80	-16.7581	28.3344	1010.0	979203.604	233.709	0.006
TENE065	329035.63	3135487.02	-16.7441	28.3344	1087.0	979184.896	231.647	0.009
TENE066	329424.10	3135239.35	-16.7401	28.3323	1101.0	979182.867	232.722	0.006
TENE067	329804.79	3135711.84	-16.7363	28.3366	1037.0	979194.652	231.036	0.010
TENE068	335412.40	3132743.59	-16.6787	28.3105	1551.6	979086.157	235.584	0.019
TENE069	333456.04	3124805.70	-16.6975	28.2386	2092.7	978990.567	258.680	0.008
TENE070	326224.24	3135041.65	-16.7727	28.3301	1081.7	979188.077	233.305	0.002
TENE071	327849.49	3137485.03	-16.7565	28.3523	 720.2	979260.147	229.479	0.007
TENE072	334784.78	3121119.89	-16.6834	28.2056	2106.2	978983.007	261.634	0.015
TENE073	328396.03	3128241.45	-16.7495	28.2690	1591.0	979083.367	240.988	0.008
TENE074	322722.15	3132485.64	-16.8080	28.3065	 977.5	979224.283	247.834	0.011
TENE075	323262.87	3129936.11	-16.8021	28.2836	 985.1	979214.805	242.440	0.027
TENE076	323731.75	3124644.57	-16.7965	28.2359	 669.2	979275.145	240.746	0.017
TENE077	324711.02	3134775.80	-16.7881	28.3275	1105.2	979186.994	237.689	0.027
TENE078	325200.87	3137859.73	-16.7835	28.3553	 622.2	979285.349	234.208	0.019
TENE079	326386.54	3127375.17	-16.7699	28.2609	1309.1	979145.357	243.290	0.026
TENE080	327303.79	3129984.07	-16.7609	28.2846	1463.5	979112.500	240.705	0.017
TENE081	327571.37	3133471.39	-16.7587	28.3161	1280.2	979148.541	236.036	0.022
TENE082	327577.46	3135639.19	-16.7590	28.3356	 986.3	979208.073	233.210	0.025
TENE083	329501.16	3127508.44	-16.7382	28.2625	1679.7	979068.423	245.466	0.022
TENE084	329585.24	3137847.80	-16.7388	28.3558	 669.7	979268.407	227.929	0.024
TENE085	330307.24	3136168.29	-16.7312	28.3408	 962.5	979208.925	229.692	0.024
TENE086	330380.12	3128931.10	-16.7294	28.2755	1795.6	979042.025	242.856	0.035
TENE087	331754.66	3126781.38	-16.7151	28.2563	1961.6	979010.047	249.364	0.048
TENE088	333173.00	3135791.70	-16.7019	28.3377	 895.1	979223.800	231.855	0.021
TENE089	333381.20	3124787.91	-16.6982	28.2385	2088.0	978991.725	258.832	0.025
TENE090	334718.54	3135382.10	-16.6861	28.3342	 957.0	979208.793	230.788	0.018
TENE091	335292.85	3122077.03	-16.6784	28.2143	2038.2	979005.565	262.929	0.055
TENE092	336463.30	3119311.29	-16.6661	28.1894	2093.0	978984.776	259.178	0.010
TENE093	336634.22	3112150.79	-16.6633	28.1249	1121.8	979174.648	243.855	0.038
TENE094	337892.80	3113163.17	-16.6507	28.1341	1222.8	979155.687	244.181	0.037
TENE095	337355.13	3112637.43	-16.6561	28.1293	1198.9	979158.606	243.156	0.037
TENE096	338622.20	3109998.16	-16.6428	28.1057	 777.0	979241.134	238.796	0.038
TENE097	338103.45	3110657.93	-16.6482	28.1116	 849.6	979229.406	242.542	0.037
TENE098	337052.78	3110856.18	-16.6589	28.1132	 933.0	979211.422	243.435	0.038
TENE099	337595.94	3114016.12	-16.6538	28.1418	1258.3	979151.614	246.849	0.038
