X,Y,fid,Bouguer_mG
-158.138654780218,21.4605614685387,1,310
-158.137072431001,21.4612977888525,2,310
-158.135806551628,21.4623286310421,3,310
-158.135331846863,21.4642430329064,4,310
-158.135331846863,21.4658628917631,5,310
-158.135648316706,21.4676299899778,6,310
-158.136597726236,21.4683662745752,7,310
-158.138338310374,21.4693970667601,8,310
-158.140237129434,21.4695443221912,9,310
-158.141503008808,21.4696915774734,10,310
-158.142768888181,21.4693970667601,11,310
-158.144034767554,21.4688080435475,12,310
-158.144825942163,21.467777247195,13,310
-158.145458881849,21.4664519268826,14,310
-158.145300646927,21.4639485111796,15,310
-158.144034767554,21.4618868424251,16,310
-158.141186538964,21.4605614685387,17,310
-158.144034767554,21.4741091667214,18,305
-158.141819478651,21.474256417389,19,305
-158.13691419608,21.473961915905,20,305
-158.134540672255,21.4736674138256,21,305
-158.131534208743,21.470722360281,22,305
-158.128211275388,21.466304668326,23,305
-158.126312456328,21.4617395792552,24,305
-158.125995986485,21.4601196745649,25,305
-158.125995986485,21.4586470183139,26,305
-158.127261865858,21.4562907373653,27,305
-158.130426564291,21.4531980608224,28,305
-158.134224202411,21.4512835138966,29,305
-158.138654780218,21.4495162174994,30,305
-158.143718297711,21.4477488996845,31,305
-158.147199465987,21.4468652327457,32,305
-158.149889459656,21.4467179544021,33,305
-158.15226298348,21.4474543446331,34,305
-158.154478272384,21.4480434541409,35,305
-158.156218856522,21.4492216660176,36,305
-158.15795944066,21.4502525936012,37,305
-158.159700024798,21.4518726079359,38,305
-158.161440608937,21.4533453326216,39,305
-158.162864723232,21.4554071221903,40,305
-158.164447072448,21.4586470183139,41,305
-158.16460530737,21.4607087328991,42,305
-158.163814132762,21.4630649424277,43,305
-158.163181193075,21.4660101507662,44,305
-158.162231783545,21.4686607873722,45,305
-158.160491199407,21.470722360281,46,305
-158.15795944066,21.4727839040144,47,305
-158.154478272384,21.4733729111507,48,305
-158.149098285047,21.473961915905,49,305
-158.145775351692,21.4804408109829,50,300
-158.142768888181,21.4807352993645,51,305
-158.138971250061,21.4799990772937,52,305
-158.134857142098,21.4794100969568,53,305
-158.131059503978,21.4789683601406,54,305
-158.126628926172,21.4774958944084,55,305
-158.121881878522,21.4748454185704,56,305
-158.119666589619,21.4710168683149,57,305
-158.118400710245,21.4674827326118,58,305
-158.118400710245,21.4640957721174,59,305
-158.119666589619,21.4612977888525,60,305
-158.120457764227,21.4580579516475,61,305
-158.121565408679,21.4554071221903,62,305
-158.1217236436,21.4524616995952,63,305
-158.120932468992,21.4495162174994,64,305
-158.121090703914,21.4464233972686,65,305
-158.122514818209,21.4448033224015,66,305
-158.125687608401,21.4424140020835,67,305
-158.130156164118,21.4402439337689,68,305
-158.134041864741,21.4380738331769,69,305
-158.138510420458,21.4366270815183,70,305
-158.143367546237,21.4364462365525,71,305
-158.149390382202,21.4366270815183,72,305
-158.157550353511,21.4369887707777,73,305
-158.165127469726,21.4371696150712,74,305
-158.170373165568,21.437892990004,75,305
-158.17251030091,21.4397014116468,76,305
-158.173676011097,21.4420523262726,77,305
-158.174453151222,21.4463923768199,78,305
-158.174841721284,21.4500089869621,79,305
-158.176396001534,21.4543488007377,80,305
-158.178338851845,21.4588693027233,81,305
-158.180087417126,21.4632088527381,82,305
-158.180281702157,21.4659210058787,83,305
-158.179504562032,21.468452303264,84,305
-158.176590286565,21.4720683660935,85,305
-158.172898870973,21.474237960704,86,305
-158.1674588901,21.4773114977451,87,305
-158.16240747929,21.4785770529666,88,305
-158.155024648106,21.479842597189,89,305
-158.149973237296,21.4803849699171,90,305
-158.164738899664,21.4856278021209,91,295
-158.160464628979,21.4861701532962,92,295
-158.153858937919,21.4867125024507,93,295
-158.14725324686,21.4867125024507,94,295
-158.140064700707,21.4861701532962,95,295
-158.133653294679,21.4847238790049,96,295
-158.128019028775,21.4834583772124,97,295
-158.123161902996,21.479842597189,98,295
-158.119276202373,21.4760459315251,99,295
-158.116167641874,21.4724299674395,100,295
-158.114613361625,21.4688139135861,101,295
-158.113059081376,21.463389664518,102,295
-158.113059081376,21.4588693027233,103,295
