Site,LatitudeOH,LongitudeOH,LatitudeWGS84,LongitudeWGS84,elevation,ObsGravity
GS0117,19.342667,-155.276672,19.339593,-155.273965,959.2,978682.31
GS0118,19.323334,-155.292999,19.320262,-155.290293,862.3,978689.44
GS0119,19.299168,-155.309494,19.296097,-155.306788,695.9,978707.5
GS0120,19.509167,-155.143829,19.506082,-155.141121,658.1,978741.88
GS0121,19.556999,-155.105499,19.55391,-155.102791,426.1,978786.75
GS0122,19.593334,-155.062668,19.590243,-155.05996,210.3,978825.81
GS0123,19.403,-155.28334,19.399923,-155.280632,1111.3,978680.13
GS0124,19.449499,-154.943497,19.446414,-154.940792,316.7,978813.94
GS0125,19.495001,-154.943665,19.491914,-154.94096,205.7,978836.88
GS0126,19.490999,-154.922836,19.487911,-154.920131,198.4,978838.06
GS0127,19.484167,-154.90416,19.48108,-154.901455,195.1,978838.56
GS0128,19.496,-154.869995,19.492911,-154.86729,116.7,978851.75
GS0129,19.514,-154.837326,19.51091,-154.834621,19.8,978869.88
GS0130,19.533333,-154.848328,19.530242,-154.845623,29.9,978866.94
GS0131,19.558332,-154.883331,19.55524,-154.880625,4.9,978861.94
GS0132,19.365168,-154.969162,19.362088,-154.966458,3.7,978855.13
GS0133,19.391001,-154.960495,19.38792,-154.957791,109.4,978840.06
GS0134,19.34,-155.017334,19.336923,-155.01463,6.1,978854.44
GS0135,19.416666,-154.955002,19.413583,-154.952298,246.6,978816.81
GS0136,19.474167,-154.871994,19.47108,-154.86929,110.9,978848.25
GS0137,19.471666,-154.835007,19.468578,-154.832303,4,978858.88
GS0138,19.493334,-154.835007,19.490245,-154.832303,17.4,978865.88
GS0139,19.452499,-154.854996,19.449413,-154.852292,8.5,978856.38
GS0140,19.433332,-154.878326,19.430247,-154.875622,6.7,978855.5
GS0141,19.412001,-154.906326,19.408918,-154.903622,9.4,978853.31
GS0142,19.4,-154.928665,19.396918,-154.925961,28,978851.44
GS0143,19.508333,-154.959,19.505245,-154.956294,186.2,978840
GS0144,19.530001,-154.972504,19.526912,-154.969798,160,978844.19
GS0145,19.551666,-154.983337,19.548576,-154.98063,130.8,978847.75
GS0146,19.575333,-155.004333,19.572242,-155.001626,107,978850.19
GS0147,19.602501,-155.024673,19.599408,-155.021965,103.3,978845.81
GS0148,19.471666,-154.943329,19.46858,-154.940624,276.5,978823.31
GS0149,19.373667,-155.228333,19.370591,-155.225627,997.3,978690.88
GS0150,19.365833,-155.210007,19.362757,-155.207301,960.4,978696.94
GS0151,19.369167,-155.181168,19.36609,-155.178462,911.7,978707.31
GS0152,19.388666,-155.247498,19.385589,-155.244791,1073.5,978682.44
GS0153,19.382,-155.268829,19.378924,-155.266122,1083.3,978678.88
GS0154,19.425167,-155.244995,19.422088,-155.242287,1165.9,978662.44
GS0155,19.440001,-155.223999,19.436921,-155.221291,1086.9,978672.06
GS0156,19.450333,-155.203003,19.447252,-155.200296,962.3,978689.94
GS0157,19.478001,-155.16333,19.474918,-155.160622,754.4,978724.69
GS0158,19.458,-155.175003,19.454918,-155.172296,838.8,978712.81
GS0159,19.624166,-155.043335,19.621073,-155.040626,109.5,978842.13
GS0160,19.721666,-155.028336,19.718567,-155.025626,9.4,978860.38
GS0161,19.684999,-155.184174,19.681904,-155.181463,609.6,978729.56
GS0162,19.689667,-155.286835,19.686573,-155.284123,1219.2,978621.44
GS0163,19.692167,-155.469498,19.689076,-155.466784,2005,978493.88
GS0164,19.717501,-155.449005,19.714408,-155.44629,2158,978460.44
GS0165,19.739166,-155.453506,19.736072,-155.450791,2464.3,978389.44
GS0166,19.591667,-155.129166,19.588577,-155.126457,503.8,978765.44
GS0167,19.578333,-155.192505,19.575244,-155.189795,833.6,978705.69
GS0168,19.566334,-155.252502,19.563247,-155.249792,1213.1,978630.69
GS0169,19.555,-155.302505,19.551914,-155.299795,1578.3,978554.94
