Longitude,Latitude,Elevation_m,ObsGravity_mGal,NormalGravity_mGal,FreeAir_mGal,Bouguer_Simple_2.6_mGal,Bouguer_Completa_2.6_mGal
-155.273965,19.339593,959.2,978682.31,978302.9799381227,379.3300618773792,274.7599962773792,291.4266197013531
-155.290293,19.320262,862.3,978689.44,978331.7938828135,357.6461171864066,263.6398957864066,280.6324442514385
-155.306788,19.296097,695.9,978707.5,978381.7875890172,325.7124109828146,249.8467847828146,275.4195648638082
-155.141121,19.506082,658.1,978741.88,978405.3234697168,336.5565302831819,264.8117844831819,278.0386777415019
-155.102791,19.55391,426.1,978786.75,978479.6493451326,307.1006548673613,260.6480850673613,272.17717417782893
-155.05996,19.590243,210.3,978825.81,978548.3323418818,277.47765811823774,254.55117271823775,266.1049196071178
-155.280632,19.399923,1111.3,978680.13,978259.4504054689,420.67959453107323,299.52789113107326,314.3056759212494
-154.940792,19.446414,316.7,978813.94,978507.316300186,306.6236998139648,272.0976992139648,291.83039055320785
-154.94096,19.491914,205.7,978836.88,978544.1606724444,292.7193275556201,270.29432495562014,285.5971250803932
-154.920131,19.487911,198.4,978838.06,978546.1870564591,291.87294354091864,270.24377234091867,287.23466229275635
-154.901455,19.48108,195.1,978838.56,978546.8182622935,291.7417377065867,270.4723259065867,289.7003373863568
-154.86729,19.492911,116.7,978851.75,978571.6922129499,280.0577870501438,267.3353864501438,287.5032821562234
-154.834621,19.51091,19.8,978869.88,978602.6290811169,267.2509188831318,265.0923624831318,289.4070886136575
-154.845623,19.530242,29.9,978866.94,978600.6093054345,266.3306945654331,263.0710563654331,286.68493893438665
-154.880625,19.55524,4.9,978861.94,978609.749152564,252.19084743596613,251.65665923596615,277.56791590219075
-154.966458,19.362088,3.7,978855.13,978599.1748673,255.9551327000372,255.5517661000372,283.1504727882454
-154.957791,19.38792,109.4,978840.06,978568.0012643933,272.05873560672626,260.13216640672624,283.22922778742054
-155.01463,19.336923,6.1,978854.44,978597.0147162102,257.4252837897511,256.7602739897511,283.10672059072857
-154.952298,19.413583,246.6,978816.81,978527.0974163804,289.71258361963555,262.8287448196356,283.527231288073
-154.86929,19.47108,110.9,978848.25,978572.2444609303,276.0055390696507,263.9154428696507,285.94916359985956
-154.832303,19.468578,4.0,978858.88,978605.1050671457,253.7749328543432,253.3388608543432,283.3884330386633
-154.832303,19.490245,17.4,978865.88,978602.1969384452,263.68306155479513,261.78614835479516,286.1098215436907
-154.852292,19.449413,8.5,978856.38,978602.6297985945,253.75020140549168,252.8235484054917,285.0014464357265
-154.875622,19.430247,6.7,978855.5,978602.100374908,253.39962509204634,252.66920449204633,283.5296161539067
-154.903622,19.408918,9.4,978853.31,978600.0602627769,253.24973722314462,252.2249680231446,283.78232466845344
-154.925961,19.396918,28.0,978851.44,978593.6395850572,257.80041494278703,254.74791094278703,284.401436772756
-154.956294,19.505245,186.2,978840.0,978550.9370757726,289.06292422744446,268.76377262744444,283.4132740635118
-154.969798,19.526912,160.0,978844.19,978560.2559730897,283.93402691022493,266.4911469102249,280.4849254863025
-154.98063,19.548576,130.8,978847.75,978570.5020785105,277.2479214895284,262.98836708952837,276.6368411654873
-155.001626,19.572242,107.0,978850.19,978579.1963833297,270.9936166702537,259.3286906702537,271.49703268829285
-155.021965,19.599408,103.3,978845.81,978581.8864457761,263.9235542239621,252.66199482396212,264.43338856021546
-154.940624,19.46858,276.5,978823.31,978520.9815398145,302.32846018555574,272.1849831855557,289.5198292353294
-155.225627,19.370591,997.3,978690.88,978292.97140335,397.9085966499988,289.1849452499988,305.1129326669412
-155.207301,19.362757,960.4,978696.94,978303.9161781339,393.02382186602335,288.32293466602334,305.965171041771
-155.178462,19.36609,911.7,978707.31,978319.1328856187,388.17711438133847,288.78540378133846,306.02334561981047
-155.244791,19.385589,1073.5,978682.44,978270.3044780116,412.1355219883844,295.1046989883844,311.02572142839625
-155.266122,19.378924,1083.3,978678.88,978266.9039961128,411.9760038872482,293.87680448724825,309.9607469173559
-155.242287,19.422088,1165.9,978662.44,978243.8561908556,418.5838091443293,291.4797229443293,306.59142927794187
-155.221291,19.436921,1086.9,978672.06,978269.0725480051,402.98745199490804,284.49578779490804,299.3402276803853
-155.200296,19.447252,962.3,978689.94,978308.1069326038,381.83306739619,276.92504599619,291.7125234808848
-155.160622,19.474918,754.4,978724.69,978373.8341435436,350.8558564563282,268.6126772563282,281.32136959503885
-155.172296,19.454918,838.8,978712.81,978346.6533457824,366.1566542176297,274.7123558176297,288.07368322644555
-155.040626,19.621073,109.5,978842.13,978581.2080978107,260.9219021892641,248.9844311892641,260.8811293356459
-155.025626,19.718567,9.4,978860.38,978617.6859353526,242.69406464742497,241.66929544742496,254.81684273748203
-155.181463,19.681904,609.6,978729.56,978430.3140524497,299.24594755040016,232.78857475040016,246.34066817441345
-155.284123,19.686573,1219.2,978621.44,978242.4603908167,378.9796091832686,246.06486358326862,260.86121916419216
-155.466784,19.689076,2005.0,978493.88,978000.1875874845,493.6924125155201,275.1113225155201,291.15957962794573
