Longitude,Latitude,Elevation_m,ObsGravity_mGal,NormalGravity_mGal,FreeAir_mGal,Bouguer_Simple_2.6_mGal,Bouguer_Completa_2.6_mGal,Bouguer_Completa_2.3_mGal,Bouguer_Completa_2.8_mGal,Bouguer_Completa_2.9_mGal
-155.273965,19.339593,959.2,978682.31,978302.9799381227,379.3300618773792,274.7599962773792,296.3702076621982,305.0854349663248,290.56005612611375,287.65498035807155
-155.290293,19.320262,862.3,978689.44,978331.7938828135,357.6461171864066,263.6398957864066,294.1428648839,300.5966356664155,289.8403510288898,287.6890941013846
-155.306788,19.296097,695.9,978707.5,978381.7875890172,325.7124109828146,249.8467847828146,298.1320941302925,300.4006500561668,296.619723513043,295.86353820441826
-155.141121,19.506082,658.1,978741.88,978405.3234697168,336.5565302831819,264.8117844831819,300.11229286606186,303.6491083242546,297.7544158939334,296.57547740786913
-155.102791,19.55391,426.1,978786.75,978479.6493451326,307.1006548673613,260.6480850673613,319.3032763512188,317.26720012215236,320.6606605039298,321.3393525802853
-155.05996,19.590243,210.3,978825.81,978548.3323418818,277.47765811823774,254.55117271823775,290.30663687108455,288.162658221624,291.7359559707249,292.4506155205451
-155.280632,19.399923,1111.3,978680.13,978259.4504054689,420.67959453107323,299.52789113107326,328.88639278952814,338.7515056850935,322.30965085915125,319.02127989396274
-154.940792,19.446414,316.7,978813.94,978507.316300186,306.6236998139648,272.0976992139648,334.81083737491406,329.46341020367356,338.37578882240774,340.15826454615456
-154.94096,19.491914,205.7,978836.88,978544.1606724444,292.7193275556201,270.29432495562014,313.1216964738398,309.27834566995307,315.6839303430976,316.9650472777265
-154.920131,19.487911,198.4,978838.06,978546.1870564591,291.87294354091864,270.24377234091867,329.99957246153457,322.7627094055593,334.8241478321847,337.2364355175098
-154.901455,19.48108,195.1,978838.56,978546.8182622935,291.7417377065867,270.4723259065867,377.1960133072659,360.9102415083949,388.05319450651325,393.4817851061369
-154.86729,19.492911,116.7,978851.75,978571.6922129499,280.0577870501438,267.3353864501438,376.05120566114334,357.7499116411352,388.25206834114874,394.3524996811515
-154.834621,19.51091,19.8,978869.88,978602.6290811169,267.2509188831318,265.0923624831318,365.8334395384607,347.0369649575616,378.3644225923935,384.6299141193598
-154.845623,19.530242,29.9,978866.94,978600.6093054345,266.3306945654331,263.0710563654331,362.6858433907525,344.3175964778026,374.93134133271906,381.0540903037025
-154.880625,19.55524,4.9,978861.94,978609.749152564,252.19084743596613,251.65665923596615,343.50117711828295,326.10974872499156,355.0954627138106,360.89260551157435
-154.966458,19.362088,3.7,978855.13,978599.1748673,255.9551327000372,255.5517661000372,325.45367260255273,312.2413748411733,334.26187111013905,338.66597036393216
-154.957791,19.38792,109.4,978840.06,978568.0012643933,272.05873560672626,260.13216640672624,341.47279062805796,328.2672420273987,350.2764896951643,354.67833922871733
-155.01463,19.336923,6.1,978854.44,978597.0147162102,257.4252837897511,256.7602739897511,323.81586955024414,311.21405930026896,332.21707638356094,336.4176798002193
-154.952298,19.413583,246.6,978816.81,978527.0974163804,289.71258361963555,262.8287448196356,355.74781217123245,343.1753320988986,364.1294655527883,368.3202922435662
-154.86929,19.47108,110.9,978848.25,978572.2444609303,276.0055390696507,263.9154428696507,374.53075102101093,355.7453599595342,387.0543450619956,393.3161420824878
-154.832303,19.468578,4.0,978858.88,978605.1050671457,253.7749328543432,253.3388608543432,357.6664006014239,337.85404010435565,370.87464093280266,377.4787610984923
-154.832303,19.490245,17.4,978865.88,978602.1969384452,263.68306155479513,261.78614835479516,364.2556403461872,345.0777122266338,377.0409257592228,383.4335684657405
-154.852292,19.449413,8.5,978856.38,978602.6297985945,253.75020140549168,252.8235484054917,361.7848526470518,341.18370994788995,375.5189477798265,382.3859953462136
-154.875622,19.430247,6.7,978855.5,978602.100374908,253.39962509204634,252.66920449204633,375.9818152508514,352.6051656507997,391.56624831755266,399.35846485090315
-154.903622,19.408918,9.4,978853.31,978600.0602627769,253.24973722314462,252.2249680231446,378.66696088832697,354.75404945116543,394.60890184643443,402.57987232548845
-154.925961,19.396918,28.0,978851.44,978593.6395850572,257.80041494278703,254.74791094278703,343.435573174252,327.128387846669,354.30703005930735,359.7427585018349
-154.956294,19.505245,186.2,978840.0,978550.9370757726,289.06292422744446,268.76377262744444,305.41881972772956,302.35926977596534,307.45851969557236,308.47836967949377
-154.969798,19.526912,160.0,978844.19,978560.2559730897,283.93402691022493,266.4911469102249,298.02919837187153,295.41609933490986,299.77126439651266,300.6422974088332
-154.98063,19.548576,130.8,978847.75,978570.5020785105,277.2479214895284,262.98836708952837,290.104997536801,287.7450215838753,291.67831483875153,292.4649734897268
-155.001626,19.572242,107.0,978850.19,978579.1963833297,270.9936166702537,259.3286906702537,282.76712460930105,280.6477821004428,284.18001961520656,284.8864671181593
-155.021965,19.599408,103.3,978845.81,978581.8864457761,263.9235542239621,252.66199482396212,276.1488526235574,273.99071849455606,277.5876087095583,278.3069867525587
-154.940624,19.46858,276.5,978823.31,978520.9815398145,302.32846018555574,272.1849831855557,325.5405676747413,321.15001239783385,328.46760452601285,329.93112295164866
-155.225627,19.370591,997.3,978690.88,978292.97140335,397.9085966499988,289.1849452499988,383.9188645809987,384.67430389724666,383.41523837016666,383.1634252647507
-155.207301,19.362757,960.4,978696.94,978303.9161781339,393.02382186602335,288.32293466602334,381.55772789773596,381.96547159738157,381.28589876463883,381.1499841980903
-155.178462,19.36609,911.7,978707.31,978319.1328856187,388.17711438133847,288.78540378133846,378.19046488420196,378.37779806865547,378.0655760945663,378.00313169974845
-155.244791,19.385589,1073.5,978682.44,978270.3044780116,412.1355219883844,295.1046989883844,386.68952774760214,388.8228425964928,385.2673178483417,384.5562128987115
-155.266122,19.378924,1083.3,978678.88,978266.9039961128,411.9760038872482,293.87680448724825,324.25732069251615,333.59256272634616,318.0338260032961,314.92207865868613
-155.242287,19.422088,1165.9,978662.44,978243.8561908556,418.5838091443293,291.4797229443293,377.7375692806084,381.69603180826533,375.09859426217037,373.7791067529514
-155.221291,19.436921,1086.9,978672.06,978269.0725480051,402.98745199490804,284.49578779490804,327.90536896872203,335.82691610346876,322.62433754555747,319.9838218339752
-155.200296,19.447252,962.3,978689.94,978308.1069326038,381.83306739619,276.92504599619,302.10515629604913,310.57733700823826,296.4570358212564,293.6329755838601
-155.160622,19.474918,754.4,978724.69,978373.8341435436,350.8558564563282,268.6126772563282,294.3543114220621,300.17390474894995,290.4745825374703,288.5347180951742
-155.172296,19.454918,838.8,978712.81,978346.6533457824,366.1566542176297,274.7123558176297,292.7755967768184,300.5104665660858,287.6190169173069,285.0407269875511
-155.040626,19.621073,109.5,978842.13,978581.2080978107,260.9219021892641,248.9844311892641,273.6223983749483,271.44732393447407,275.0724480019311,275.7974728154225
-155.025626,19.718567,9.4,978860.38,978617.6859353526,242.69406464742497,241.66929544742496,256.4491328621551,254.0398367214275,258.0553302893069,258.85842900288276
-155.181463,19.681904,609.6,978729.56,978430.3140524497,299.24594755040016,232.78857475040016,291.7932361505493,292.0865795507786,291.5976738837298,291.49989275032
-155.284123,19.686573,1219.2,978621.44,978242.4603908167,378.9796091832686,246.06486358326862,328.07324095642605,333.3677825313731,324.54354657312797,322.77869938147893
-155.466784,19.689076,2005.0,978493.88,978000.1875874845,493.6924125155201,275.1113225155201,329.16027200788045,347.5576794419709,316.89533371848665,310.7628645737898
-155.44629,19.714408,2158.0,978460.44,977954.4488874313,505.99111256864853,270.7302685686485,310.55065731343404,332.4798684496464,295.9311832226257,288.6214461772214
-155.450791,19.736072,2464.3,978389.44,977861.2296620732,528.2103379267501,259.55728052675005,289.02522520150364,315.95259160848013,271.073647596853,262.09785879452727
-155.126457,19.588577,503.8,978765.44,978457.6402519463,307.7997480536578,252.8764796536578,309.27615527752357,308.506481320577,309.78927124882125,310.04582923447015
-155.189795,19.575244,833.6,978705.69,978355.0934101081,350.5965898918221,259.71918509182206,276.23018854929734,284.2122635344839,270.9088052258397,268.2481135641108
-155.249792,19.563247,1213.1,978630.69,978237.303470852,393.3865291479742,261.1367933479742,312.0068237260143,320.78015166732393,306.1579384318078,303.23349578470453
-155.299795,19.551914,1578.3,978554.94,978123.9840807148,430.95591928518843,258.8928098851884,283.1734065352608,299.58128410050546,272.2348214917647,266.7655289700165
-155.334295,19.582414,1748.0,978519.38,978073.3701015144,446.00989848561585,255.44643448561584,278.25663289532565,296.97928888751585,265.7748622338655,259.53397690313557
-155.362461,19.594747,1876.0,978494.88,978034.5891541285,460.29084587155376,255.77307787155374,274.14186848532233,294.98940530279685,260.24351060700576,253.2943316678473
-155.400288,19.594413,2115.3,978445.56,977960.7602607174,484.79973928269465,254.19396388269462,295.17253450199007,316.4056886541389,281.01709840055753,273.9393803498409
-155.453449,19.583581,2528.0,978359.44,977832.8689328694,526.5710671305424,250.97356313054235,273.419092081523,301.9384167278341,254.40620898398163,244.89976743521095
-155.136445,19.906892,56.7,978887.88,978613.9174429203,273.96255707973614,267.78123647973615,355.162436159545,344.67792403735945,362.1521109076687,365.64694828173043
-155.411281,20.059721,237.1,978860.19,978567.0821056957,293.10789430420846,267.25972650420846,341.1798645787065,334.7712765880005,345.4522565725104,347.5884525694124
-155.669275,20.021059,813.8,978765.06,978386.836950534,378.22304946603253,289.5042010660325,321.27359584176753,327.40808144678874,317.18393877175333,315.1391102367464
-155.687617,19.935232,786.7,978739.5,978390.2280280401,349.27197195985354,263.50751135985354,299.91121432770973,305.20778279753637,296.3801686811585,294.6146458578829
-155.66328,19.879734,1219.2,978634.25,978253.5600027995,380.6899972005049,247.77525160050487,293.1305866526469,302.7738289997735,286.70175842122916,283.4873443055203
-155.615615,19.781072,1691.6,978536.38,978102.1352671388,434.24473286117427,249.82988406117428,277.6268251122723,295.176578749685,265.9269893539974,260.07707147485974
-155.398125,19.335261,858.3,978710.19,978333.8734464276,376.3165535723092,282.7464041723092,317.4596312715144,323.5927177894392,313.3709069262313,311.3265447535896
-155.439798,19.2661,564.8,978752.38,978420.5636045751,331.81639542488847,270.2430290248885,402.7403401299382,393.8248194543338,408.6840205803411,411.6558608055426
-155.476634,19.198604,252.4,978804.56,978513.2058708612,291.3541291388683,263.8379859388683,325.3708680164722,320.7437316793737,328.4556255745379,329.99800435357076
-155.586467,19.060281,205.4,978802.19,978519.9889733995,282.2010266004363,259.8087294004363,339.00813880549987,328.5119067212818,346.0056268616452,349.50437088971785
-155.841274,19.816573,666.9,978696.94,978420.3561499165,276.583850083407,203.879745883407,219.44243045709115,225.53915409776738,215.37794802997365,213.34570681641483
-155.960276,19.761412,626.1,978710.69,978429.7781280007,280.91187199926935,212.65570219926934,323.1395506073258,314.98242570057977,328.5776338784899,331.2966755140719
-155.949446,19.610088,367.0,978780.38,978501.0922738399,279.28772616013885,239.27812016013885,346.16316931121395,333.76821501202085,354.4264721773427,358.5581236104071
-155.92012,19.516259,477.6,978759.0,978461.6124979361,297.3875020638807,245.32050526388068,357.5771379944841,348.5721245855825,363.58048026708514,366.58215140338575
-155.877292,19.355268,266.1,978781.06,978517.7840843868,263.27591561328154,234.26622581328155,335.91598604341317,326.52988231090916,342.1733885317492,345.30208977591724
-155.868459,19.210276,524.6,978718.44,978429.838406106,288.60159389395267,231.41075109395265,264.309874853328,265.78281069521677,263.32791762540205,262.83693901143914
-155.791619,19.091947,595.9,978714.0,978401.2160009912,312.78399900882505,247.82017280882505,309.45783922327024,307.6838305922335,310.6405116439614,311.231847854307
-155.489291,19.575249,2735.6,978315.5,977768.3810919668,547.1189080332406,248.88926723324056,292.7670426079984,321.4002151776292,273.67826089491166,264.13387003836806
-155.507953,19.569417,2837.7,978294.0,977736.5688331185,557.4311668814626,248.07078828146257,303.64302235506284,332.19611344248324,284.6076282967822,275.08993126764227
-155.54079,19.552418,3116.3,978237.19,977649.709128908,587.480871091946,247.74807769194598,336.13085301211885,364.35184629709863,317.3168574887988,307.90985972713867
-155.564792,19.522753,3587.5,978143.13,977502.7772641302,640.3527358698193,249.25066086981928,393.4070625660243,421.0218769552279,374.9971863065557,365.79224817682115
-155.580615,19.509254,3810.0,978096.25,977433.4370267137,662.812973286258,247.45439328625804,416.16416627989054,443.6928162602627,397.8117329596422,388.63551629951826
-155.57729,19.493588,3968.5,978075.25,977383.7029881518,691.5470118481899,258.90907884818984,447.65963240403187,474.83053308849935,429.5456986143866,420.48873171956427
-155.60146,19.483591,4111.8,978039.13,977338.9784429747,700.1515570252668,251.89134462526675,449.8664479521294,477.72991206229335,431.29080521202013,422.0029838419655
-155.168952,19.58191,692.5,978730.19,978399.0193475304,331.1706524695037,255.67568746950369,288.0318857084189,292.4195305814433,285.10678912640265,283.6442408353945
-155.214957,19.568579,983.0,978677.38,978308.6092363121,368.77076368790586,261.60606968790586,285.6114762758531,294.60235935884896,279.61755422052255,276.6205931928572
-155.279623,19.558914,1430.1,978585.38,978170.103944219,415.2760557810543,259.3694139810543,299.2446367314572,312.00143680177524,290.7401033512453,286.4878366611391
-155.106955,19.665238,198.7,978815.13,978556.1939218964,258.93607810360845,237.27420150360845,333.47583291716523,324.3185842702399,339.58066534844886,342.6330815640907
-155.135962,19.655239,373.4,978777.81,978501.6945073867,276.11549261340406,235.40817141340406,317.43620086168835,312.11074651118514,320.98650376202374,322.7616552121915
-155.162284,19.558578,727.3,978726.25,978386.9505659661,339.299434033921,260.010642633921,287.5933980735686,292.94423754973565,284.0261717561239,282.2425585974015
