Longitud_DD,Latitud_DD,Elevacion_m,Gravedad_Obs_mGal,Gravedad_Normal_mGal,Anomalia_Aire_Libre_mGal,Anomalia_Bouguer_Simple_mGal,Anomalia_Bouguer_Completa_mGal
-16.247222222222224,28.470277777777778,10.149,979398.9,979203.8636404525,195.036359547521,194.01504537952098,202.011081728497
-16.24888888888889,28.475555555555555,28.5925,979394.79,979198.5699778678,196.22002213227097,193.34270167227098,201.6513139113823
-16.255277777777778,28.471944444444443,52.7189,979388.87,979190.8494907342,198.02050926582888,192.71530092102887,200.60021272668183
-16.259722222222223,28.46972222222222,62.3199,979386.13,979187.7177644812,198.41223551880103,192.14085934200102,200.30585703773124
-16.26222222222222,28.464444444444442,72.8529,979381.98,979184.067170689,197.9128293109825,190.5814962781825,198.2702223525982
-16.26388888888889,28.459166666666665,75.2698,979379.1,979182.9218245635,196.17817543644924,188.60362492284924,196.90827539770558
-16.25611111111111,28.45888888888889,49.0165,979383.38,979191.004440095,192.37555990496185,187.44293147696186,197.1151854515383
-16.253333333333334,28.459444444444443,18.9541,979389.69,979200.3259841099,189.36401589005254,187.45662689885253,196.39427324615855
-16.249166666666667,28.461111111111112,4.3687,979392.01,979204.9542773586,187.05572264140937,186.61609162300937,195.41553319516854
-16.247281833333336,28.46618561111111,4.7428,979394.77,979205.222757605,189.54724239499774,189.06996494539774,197.59400218495992
-16.246944444444445,28.47083333333333,8.7556,979396.41,979204.3357953478,192.07420465222094,191.19311111302093,198.9789172053648
-16.247222222222224,28.473055555555554,8.8779,979399.06,979204.4662182153,194.5937817847589,193.7003809519589,202.2165260868253
-16.24361111111111,28.47861111111111,8.9121,979398.07,979204.8761343986,193.1938656013226,192.29702315412263,199.8860230962768
-16.246257472222222,28.47789647222222,10.1562,979398.9,979204.4380169815,194.46198301855475,193.43994430015474,202.14856393040907
-16.266944444444444,28.45611111111111,84.3081,979376.31,979179.9008215431,196.40917845699005,187.92508573779006,195.67067135252125
-16.27138888888889,28.451666666666664,105.2885,979369.81,979173.0886680547,196.72133194538765,186.12593961338766,194.71884503311563
-16.274627777777777,28.447211111111113,118.7142,979364.31,979168.6076218965,195.70237810350955,183.75593072910954,192.8721131850219
-16.2775,28.450277777777778,169.9857,979356.11,979153.0141676366,203.0958323633531,185.9898314009531,194.6731167581231
-16.280833333333334,28.449166666666667,172.0708,979356.12,979152.2865450846,203.83345491543878,186.5176261698388,197.15618137437772
-16.283611111111114,28.448055555555555,214.0944,979347.22,979139.2318328335,207.98816716647707,186.44341950567707,195.8049139852908
-16.28353611111111,28.448016666666668,214.9611,979347.03,979138.9613853527,208.0686146473745,186.4366492321745,195.68511636994074
-16.2893,28.44681111111111,257.0595,979338.56,979125.8767064498,212.68329355027527,186.81488194627525,195.59578635980742
-16.291111111111114,28.450277777777778,297.1634,979333.01,979113.7612637897,219.24873621028382,189.34458894148383,196.93050599098365
-16.29361111111111,28.456944444444442,341.3372,979326.52,979100.6320668098,225.88793319021352,191.53848807981353,198.9215637131824
-16.297500000000003,28.460555555555555,375.3891,979321.15,979090.3959076008,230.75409239926375,192.97793648806376,199.72140827802735
-16.297619444444447,28.460619444444443,378.1839,979320.72,979089.538195611,231.18180438899435,193.12440216419435,199.97590711464917
-16.303055555555556,28.46611111111111,432.271,979312.58,979073.2613075511,239.31869244889822,195.8183971768982,203.1693640114538
-16.30777777777778,28.47083333333333,467.3186,979309.14,979062.8024613397,246.3375386602711,199.31033330507108,206.16209030431355
-16.31361111111111,28.476388888888888,511.7489,979304.25,979049.5113480368,254.73865196318366,203.24033665838365,209.4951762810199
-16.31361111111111,28.476388888888888,512.3449,979304.24,979049.327419161,254.91258083900902,203.35428886220902,209.5519201388911
-16.316666666666666,28.479444444444443,534.1926,979301.65,979042.8164152511,258.833584748907,205.07671502570702,211.3243005354824
-16.411696055555556,28.31842988888889,306.9122,979339.9,979100.7941620634,239.10583793662954,208.22064942622956,219.0341163849289
-16.410869694444443,28.32488561111111,338.1419,979334.23,979091.6425014675,242.58749853249174,208.55960285169175,219.11330069398508
-16.413278888888886,28.33067127777778,369.0411,979328.68,979082.5425125827,246.1374874173198,209.0001434421198,220.16179333696306
