Archivo_Origen,Pagina_PDF,ID_Punto,Latitud,Longitud,Alt_Ortometrica,Alt_Elipsoidal,Precision_m,Gravedad_mGal
Lin00925,1,925001,28° 05' 04'',- 17° 06' 32'',3.0830,,,979396.36
Lin00925,2,925002,28° 05' 21'',- 17° 06' 26'',3.0244,,,979396.38
Lin00925,3,925003,"28° 05' 21,1234''","- 17° 06' 26,1634''",3.0445,47046,,979396.37
Lin00925,4,925004,28° 05' 21'',- 17° 06' 26'',2.8586,,,979397.43
Lin00925,5,925005,"28° 05' 25,5376''","- 17° 06' 35,0008''",2.8570,47293,0.05,979397.43
Lin00925,6,925006,28° 05' 28'',- 17° 06' 49'',7.2185,,,979397.9
Lin00926,1,926001,28° 05' 53'',- 17° 06' 58'',25.3105,70,,979394.44
Lin00926,2,926002,28° 06' 16'',- 17° 07' 25'',87.3162,132,,979384.47
Lin00926,3,926003,"28° 06' 38,2155''","- 17° 07' 45,1049''",141.7200,186443,0.05,979376.00
Lin00926,4,926004,"28° 06' 53,1539''","- 17° 08' 13,5785''",196.6765,241524,0.05,979365.98
Lin00926,5,926005,"28° 07' 12,5512''","- 17° 08' 40,7670''",280.7701,325529,,979350.57
Lin00926,6,926006,28° 07' 15'',- 17° 08' 50'',358.5679,,,979335.97
Lin00926,7,926007,"28° 07' 24,0007''","- 17° 08' 56,5325''",358.9136,403804,0.05,979335.86
Lin00926,8,926008,"28° 07' 26,3360''","- 17° 09' 26,9712''",429.8128,474795,0.05,979325.11
Lin00926,9,926009,"28° 07' 34,4215''","- 17° 09' 52,4953''",472.4700,468366,,979316.9
Lin00926,10,926010,"28° 07' 41,7416''","- 17° 10' 21,6025''",510.8808,468366,,979312.32
Lin00926,11,926011,28° 07' 45'',- 17° 10' 30'',558.3496,,,979306.3
Lin00926,12,926012,"28° 07' 52,2941''","- 17° 10' 35,0146''",558.6366,468366,,979306.21
Lin00926,13,926013,"28° 07' 52,3071''","- 17° 11' 04,1611''",631.7117,468366,,979295.3
Lin00926,14,926014,"28° 08' 02,6724''","- 17° 11' 24,2549''",636.2618,681601,0.05,979297.49
Lin00926,15,926015,"28° 08' 06,9290''","- 17° 11' 48,0309''",592.1113,638154,,979315.2
Lin00926,16,926016,"28° 08' 05,0935''","- 17° 12' 00,5186''",557.2970,603412,,979323.73
Lin00926,17,926017,"28° 08' 14,9137''","- 17° 12' 03,4492''",503.3415,552219,,979336.71
Lin00926,18,926018,"28° 08' 32,2428''","- 17° 11' 50,6618''",439.6862,485547,,979351.57
Lin00926,19,926019,28° 08' 35'',- 17° 11' 55'',439.9625,,,979351.48
Lin00926,20,926020,"28° 08' 39,7894''","- 17° 11' 58,2772''",374.1053,419242,,979367.29
Lin00926,21,926021,"28° 08' 29,4690''","- 17° 11' 39,1375''",337.9131,385346,,979371.81
Lin00926,22,926022,"28° 08' 54,7244''","- 17° 11' 55,9138''",274.6400,319806,0.05,979389.91
Lin00926,23,926023,"28° 09' 39,1354''","- 17° 11' 53,2170''",228.9064,245328,,979402.2
Lin00926,24,926024,"28° 09' 39,1260''","- 17° 11' 53,6606''",160.4010,205757,0.05,979417.62
Lin00926,25,926025,"28° 10' 06,9414''","- 17° 11' 38,5826''",99.7000,144765,,979430.14
Lin00926,26,926026,28° 10' 010'',- 17° 11' 25'',100.5128,,,979429.89
Lin00926,27,926027,"28° 10' 25,7351''","- 17° 11' 14,0814''",74.9011,120185,0.05,979431.64
Lin00926,28,926028,"28° 10' 41,2145''","- 17° 11' 10,3744''",125.7114,170970,0.05,979419.85
Lin00926,29,926029,"28° 11' 00,0049''","- 17° 11' 14,0701''",171.6035,216908,0.05,979406.86
Lin00926,30,926030,"28° 11' 07,7083''","- 17° 11' 39,7954''",194.2069,240695,,979405.1
Lin00926,31,926031,"28° 11' 14,4833''","- 17° 11' 51,8686''",242.0323,287299,0.05,979397.16
