Archivo_Origen,Pagina_PDF,ID_Punto,Latitud,Longitud,Alt_Ortometrica,Alt_Elipsoidal,Precision_m,Gravedad_mGal,Tipo_Gravedad
Lin00947,1,947001,"28° 18' 38,4693''","- 16° 34' 12,3003''",1992.3013,2040.211,0.05,978993.91,Observada
Lin00947,2,947002,"28° 18' 44,8073''","- 16° 34' 08,7630''",1948.6405,1996.510,0.05,979003.62,Observada
Lin00947,3,947003,"28° 18' 52,1792''","- 16° 34' 31,3038''",1903.9744,1951.869,0.05,979013.26,Observada
Lin00947,4,947004,"28° 19' 00,9090''","- 16° 34' 12,9155''",1854.1841,1902.050,0.05,979023.73,Observada
Lin00947,5,947005,28° 19' 02'',- 16° 33' 44'',1801.5175,1851,,,Calculada (Descartada)
Lin00947,6,947006,"28° 19' 01,8079''","- 16° 33' 43,3838''",1804.0236,1851.841,0.05,979035.47,Observada
Lin00947,7,947007,"28° 19' 11,2929''","- 16° 33' 22,3547''",1752.1928,1799.974,0.05,979045.72,Observada
Lin00947,8,947008,"28° 19' 19,9877''","- 16° 32' 54,0486''",1709.8072,1757.534,0.05,979054.23,Observada
Lin00947,9,947009,"28° 19' 17,2591''","- 16° 32' 29,2582''",1667.3432,1715.101,0.05,979064.39,Observada
Lin00947,10,947010,"28° 19' 29,7697''","- 16° 32' 08,3392''",1618.4816,1666.810,0.05,979076.03,Observada
Lin00947,11,947011,,- 16° 31' 53'',1558.8206,,,979088.58,Observada
Lin00947,12,947012,28° 19' 56'',- 16° 31' 53'',1557.4483,,,,Calculada (Descartada)
Lin00947,13,947013,"28° 20' 17,0571''","- 16° 31' 38,2993''",1508.4006,1556.114,0.05,979099.04,Observada
Lin00947,14,947014,"28° 20' 32,3932''","- 16° 31' 20,5508''",1463.6732,1510.336,0.05,979108.55,Observada
Lin00947,15,947015,"28° 20' 50,8774''","- 16° 30' 55,7369''",1399.0824,1446.737,0.05,979122.92,Observada
Lin00947,16,947016,"28° 21' 00,2379''","- 16° 30' 54,8099''",1351.6262,1398.808,0.05,,Calculada (Descartada)
Lin00947,17,947017,,- 16° 31' 010'',1351.2265,,,979132.52,Observada
Lin00947,18,947018,,"- 16° 31' 23,8515''",1305.7820,1353.007,0.05,979142.39,Observada
Lin00947,19,947019,,"- 16° 31' 19,3164''",1245.3138,1292.638,0.05,979155.29,Observada
Lin00947,20,947020,,"- 16° 30' 53,0726''",1192.9268,1241.908,0.05,979167.31,Observada
Lin00947,21,947021,,"- 16° 30' 23,3827''",1144.0974,1191.295,0.05,979178.95,Observada
Lin00947,22,947022,,"- 16° 29' 56,4961''",1088.4835,1135.614,0.05,979190.19,Observada
Lin00947,23,947023,,- 16° 29' 56'',1086.4864,,,,Calculada (Descartada)
Lin00947,24,947024,,"- 16° 29' 59,8835''",1033.4041,1080.475,0.05,979201.98,Observada
Lin00947,25,947025,,"- 16° 30' 24,1940''",984.2168,1031.275,0.05,979211.62,Observada
Lin00947,26,947026,,"- 16° 30' 52,9564''",927.4284,974.536,0.05,979222.75,Observada
Lin00947,27,947027,"28° 21' 59,3125''","- 16° 31' 17,4984''",875.9419,923.036,0.05,979232.06,Observada
Lin00947,28,947028,"28° 22' 00,5326''","- 16° 31' 42,7377''",823.8254,870.813,0.05,979242.03,Observada
Lin00947,29,947029,"28° 22' 00,5504''","- 16° 31' 41,9180''",822.9813,870.126,0.05,,Calculada (Descartada)
Lin00947,30,947030,,"- 16° 32' 03,3160''",841.7808,888.901,0.05,979236.26,Observada
Lin00947,31,947031,"28° 21' 46,7314''","- 16° 32' 07,0376''",903.2445,950.448,0.05,979224.66,Observada
Lin00947,32,947032,,"- 16° 32' 37,7675''",906.6331,953.807,0.05,979223.26,Observada
Lin00947,33,947033,,"- 16° 33' 04,9718''",874.1241,921.314,0.05,979228.42,Observada
Lin00947,34,947034,"28° 21' 35,4352''","- 16° 33' 39,3478''",813.5524,860.679,0.05,,Calculada (Descartada)
Lin00947,35,947035,"28° 21' 35,4470''","- 16° 33' 40,5886''",811.5305,858.637,0.05,979241.42,Observada
Lin00947,36,947036,"28° 21' 39,0971''","- 16° 34' 15,2811''",742.0541,789.249,0.05,979255.3,Observada
Lin00947,37,947037,,"- 16° 34' 19,7456''",694.3042,741.498,0.05,979265.28,Observada
Lin00947,38,947038,"28° 21' 58,6111''","- 16° 34' 35,1243''",646.4191,693.538,0.05,979274.57,Observada
Lin00947,39,947039,,"- 16° 34' 59,6140''",594.5264,641.629,0.05,979283.65,Observada
Lin00947,40,947040,"28° 22' 11,2506''","- 16° 34' 47,9999''",540.2625,587.310,0.05,979296.45,Observada
Lin00947,41,947041,"28° 22' 11,7''","- 16° 34' 47,5''",540.3588,587,,,Calculada (Descartada)
Lin00947,42,947042,"28° 22' 26,6393''","- 16° 34' 21,9740''",504.0094,550.998,0.05,979306.12,Observada
Lin00947,43,947043,"28° 22' 39,2012''","- 16° 34' 31,7239''",433.2515,480.075,0.05,979320.18,Observada
Lin00947,44,947044,"28° 22' 39,3''","- 16° 34' 46,8''",399.6373,446,,979326.26,Observada
