Linea,ID_Punto,Latitud,Longitud,Alt_Ortometrica,Alt_Elipsoidal,Precision_m,Gravedad_mGal
Tenerife,930003,28° 28' 13'',- 16° 14' 50'',10.1490,no encontrada,no encontrada,979398.9
Tenerife,931001,28° 28' 32'',- 16° 14' 56'',28.5925,no encontrada,no encontrada,979394.79
Tenerife,931002,28° 28' 19'',- 16° 15' 19'',52.7189,no encontrada,no encontrada,979388.87
Tenerife,931003,28° 28' 11'',- 16° 15' 35'',62.3199,no encontrada,no encontrada,979386.13
Tenerife,931004,28° 27' 52'',- 16° 15' 44'',72.8529,no encontrada,no encontrada,979381.98
Tenerife,931005,28° 27' 33'',- 16° 15' 50'',75.2698,no encontrada,no encontrada,979379.1
Tenerife,932001,28° 27' 32'',- 16° 15' 22'',49.0165,no encontrada,no encontrada,979383.38
Tenerife,932002,28° 27' 34'',- 16° 15' 12'',18.9541,no encontrada,no encontrada,979389.69
Tenerife,932003,28° 27' 40'',- 16° 14' 57'',4.3687,no encontrada,no encontrada,979392.01
Tenerife,932004,"28° 27' 58,2682''","- 16° 14' 50,2146''",4.7428,48315,0.05,979394.77
Tenerife,932005,28° 28' 15'',- 16° 14' 49'',8.7556,no encontrada,no encontrada,979396.41
Tenerife,932006,28° 28' 23'',- 16° 14' 50'',8.8779,51,no encontrada,979399.06
Tenerife,932007,28° 28' 43'',- 16° 14' 37'',8.9121,no encontrada,no encontrada,979398.07
Tenerife,932009,"28° 28' 35,3852''","- 16° 14' 47,0112''",11.1178,55081,0.05,9793988.92
Tenerife,932010,"28° 28' 39,8461''","- 16° 14' 41,7327''",8.8193,52994,0.05,9793993.14
Tenerife,932011,"28° 28' 35,3852''","- 16° 14' 46,5269''",11.1248,55081,0.05,9793988.92
Tenerife,932015,"28° 28' 39,8461''","- 16° 14' 46,5269''",8.8263,52994,0.05,9793993.14
Tenerife,932016,"28° 28' 40,4273''","- 16° 14' 46,5269''",10.1562,no encontrada,no encontrada,979398.9
Tenerife,932017,"28° 28' 37,6042''","- 16° 14' 46,5269''",3.7725,47653,0.05,979399074
Tenerife,932018,28° 34' 21'',- 16° 14' 47'',4.1682,no encontrada,no encontrada,979399382
Tenerife,933001,28° 27' 22'',- 16° 16' 01'',84.3081,no encontrada,no encontrada,979376.31
Tenerife,933002,28° 27' 06'',- 16° 16' 17'',105.2885,no encontrada,no encontrada,979369.81
Tenerife,933003,"28° 26' 49,9600''","- 16° 16' 28,6600''",118.7142,163053,no encontrada,979364.31
Tenerife,934001,28° 27' 01'',- 16° 16' 39'',169.9857,no encontrada,no encontrada,979356.11
Tenerife,934002,28° 26' 57'',- 16° 16' 51'',172.0708,no encontrada,no encontrada,979356.12
Tenerife,934003,28° 26' 53'',- 16° 17' 01'',214.0944,no encontrada,no encontrada,979347.22
Tenerife,934004,"28° 26' 52,8600''","- 16° 17' 00,7300''",214.9611,259480,no encontrada,979347.03
Tenerife,934005,"28° 26' 48,5200''","- 16° 17' 21,4800''",257.0595,301434,no encontrada,979338.56
Tenerife,934006,28° 27' 01'',- 16° 17' 28'',297.1634,no encontrada,no encontrada,979333.01
Tenerife,934007,28° 27' 25'',- 16° 17' 37'',341.3372,no encontrada,no encontrada,979326.52
Tenerife,934008,28° 27' 38'',- 16° 17' 51'',375.3891,no encontrada,no encontrada,979321.15
Tenerife,934009,"28° 27' 38,2300''","- 16° 17' 51,4300''",378.1839,422809,no encontrada,979320.72
Tenerife,934010,28° 27' 58'',- 16° 18' 11'',432.2710,no encontrada,no encontrada,979312.58
Tenerife,934011,28° 28' 15'',- 16° 18' 28'',467.3186,no encontrada,no encontrada,979309.14
Tenerife,934012,28° 28' 35'',- 16° 18' 49'',511.7489,no encontrada,no encontrada,979304.25
Tenerife,934013,28° 28' 35'',- 16° 18' 49'',512.3449,no encontrada,no encontrada,979304.24
Tenerife,934014,28° 28' 46'',- 16° 18' 60'',534.1926,no encontrada,no encontrada,979301.65
Tenerife,938001,"28° 19' 06,3476''","- 16° 24' 42,1058''",306.9122,353062,no encontrada,979339.9
Tenerife,938002,"28° 19' 29,5882''","- 16° 24' 39,1309''",338.1419,384414,0.05,979334.23
Tenerife,938003,"28° 19' 50,4166''","- 16° 24' 47,8040''",369.0411,415329,0.05,979328.68
Tenerife,938004,"28° 20' 09,8213''","- 16° 24' 56,7956''",417.6535,464015,0.05,979319.39
Tenerife,938005,"28° 20' 32,5025''","- 16° 25' 00,9887''",439.9528,486251,0.05,979314.85
Tenerife,938007,"28° 20' 41,2249''","- 16° 25' 07,8662''",464.2596,510661,0.05,979310.41
Tenerife,938008,"28° 20' 56,5259''","- 16° 25' 05,0754''",506.0638,552428,0.05,979300.76
Tenerife,938009,"28° 21' 10,3537''","- 16° 24' 50,8967''",540.1458,586457,0.05,979292.2
Tenerife,938010,"28° 21' 28,8387''","- 16° 24' 46,0290''",589.6318,635946,0.05,979280.91
Tenerife,938011,"28° 21' 22,5232''","- 16° 25' 04,3652''",641.2678,687656,0.05,979271.01
Tenerife,938013,"28° 21' 15,1510''","- 16° 25' 27,7827''",687.6762,734142,no encontrada,979262.4
Tenerife,938014,"28° 21' 14,3077''","- 16° 25' 34,7126''",739.1348,782281,0.05,979252.27
Tenerife,938015,"28° 21' 27,3493''","- 16° 25' 37,4376''",793.5247,840072,0.05,979240.59
Tenerife,938016,"28° 21' 31,6255''","- 16° 25' 47,5483''",870.1231,918670,0.05,979224.72
Tenerife,938017,"28° 21' 26,3827''","- 16° 26' 03,3242''",930.9187,977293,no encontrada,979212.94
Tenerife,938019,"28° 21' 48,6444''","- 16° 25' 54,3653''",991.2501,1037890,0.05,979199.59
Tenerife,938020,"28° 22' 01,8846''","- 16° 25' 47,6498''",1034.9567,1082364,0.05,979189.63
Tenerife,938021,"28° 22' 17,8846''","- 16° 25' 39,6580''",1104.3594,1151438,0.05,979174.06
Tenerife,938022,"28° 22' 43,1203''","- 16° 25' 30,2610''",1174.7008,1220330,0.05,979159.1
Tenerife,938023,"28° 22' 31,7937''","- 16° 25' 57,0228''",1243.4571,1290356,0.05,979145.51
Tenerife,938025,"28° 22' 51,3888''","- 16° 25' 43,4630''",1306.9940,1353358,0.05,979130.02
Tenerife,938026,"28° 23' 02,3971''","- 16° 25' 54,1643''",1376.5845,1422907,0.05,979115.3
Tenerife,938027,"28° 22' 49,5071''","- 16° 26' 10,0596''",1450.3657,1497094,0.05,979099.9
Tenerife,938028,"28° 22' 41,4''","- 16° 26' 28,0''",1518.7149,1568,no encontrada,979081.36
Tenerife,938030,"28° 22' 46,5592''","- 16° 26' 50,7799''",1601.3199,1648007,0.05,979066.02
Tenerife,938031,"28° 23' 10,5145''","- 16° 26' 59,1861''",1652.0019,1698695,0.05,979052.9
Tenerife,938032,"28° 23' 18,4582''","- 16° 26' 56,7607''",1679.0767,1725604,0.05,979043.99
Tenerife,939001,"28° 18' 29,7906''","- 16° 23' 23,5171''",125.7641,172087,0.05,979373.55
Tenerife,939002,"28° 18' 42,6422''","- 16° 23' 47,4325''",173.8134,219713,0.05,979364.64
Tenerife,939003,"28° 18' 46,8650''","- 16° 24' 14,2571''",221.1426,266885,0.05,979356.53
Tenerife,939004,"28° 18' 45,8831''","- 16° 24' 38,2031''",267.6167,313906,0.05,979346.8
Tenerife,942001,"28° 07' 01,9228''","- 16° 34' 56,4691''",704.6466,750909,0.05,979242.99
Tenerife,942002,"28° 07' 04,9114''","- 16° 35' 20,9559''",754.6965,800918,0.05,979234.63
Tenerife,942003,"28° 07' 27,1137''","- 16° 35' 22,4856''",795.3020,843941,0.05,979227.74
Tenerife,942004,"28° 07' 37,5787''","- 16° 35' 42,9639''",837.2259,883691,no encontrada,979222.32
Tenerife,942005,"28° 07' 48,2581''","- 16° 35' 52,7872''",857.9858,904500,no encontrada,979220.33
Tenerife,942007,"28° 07' 59,8637''","- 16° 36' 02,7188''",894.3520,940926,0.05,979214.46
Tenerife,942008,"28° 07' 54,5208''","- 16° 36' 24,4517''",937.1555,983702,0.05,979206.42
Tenerife,942009,"28° 07' 54,4876''","- 16° 36' 45,6221''",982.5956,1029310,0.05,979198.87
Tenerife,942010,"28° 07' 58,6811''","- 16° 36' 55,6305''",1021.8641,1068596,0.05,979191.1
Tenerife,942011,"28° 08' 15,5773''","- 16° 36' 53,8396''",1066.3782,1111391,0.05,979183.3
Tenerife,942012,"28° 08' 16,4256''","- 16° 37' 02,4166''",1124.6079,1171430,0.05,979170.71
Tenerife,942014,"28° 08' 28,0''","- 16° 37' 17,9''",1165.6129,1210,no encontrada,979165.07
Tenerife,942015,"28° 08' 27,2001''","- 16° 37' 08,2789''",1205.5867,1251227,0.05,979154.25
Tenerife,942016,"28° 08' 44,5500''","- 16° 37' 29,2615''",1257.5939,1305388,0.05,979149.02
Tenerife,942017,"28° 08' 52,5143''","- 16° 37' 40,7434''",1289.8332,1336907,0.05,979143.72
Tenerife,942018,"28° 09' 09,4750''","- 16° 38' 02,2536''",1335.9445,1383751,0.05,979136.63
Tenerife,942019,"28° 09' 11,5390''","- 16° 38' 22,8441''",1376.8301,1424054,0.05,979127
