Archivo_Origen,Pagina_PDF,ID_Punto,Latitud,Longitud,Alt_Ortometrica,Alt_Elipsoidal,Precision_m,Gravedad_mGal,Tipo_Gravedad
Lin00904,2,904002,28° 29' 55'',- 13° 51' 31'',6.0693,DATO NO DETECTADO,DATO NO DETECTADO,979367.89,Observada
Lin00904,3,904003,28° 29' 48'',- 13° 51' 33'',2.3270,DATO NO DETECTADO,DATO NO DETECTADO,979368.99,Observada
Lin00905,1,905001,28° 29' 56'',- 13° 51' 38'',23.4279,DATO NO DETECTADO,DATO NO DETECTADO,979362.53,Observada
Lin00905,2,905002,"28° 29' 39,2089''","- 13° 52' 00,9744''",18.2738,63294,0.05,979365.42,Observada
Lin00905,3,905003,"28° 29' 08,7208''","- 13° 52' 10,1384''",24.9445,69938,0.05,979363.94,Observada
Lin00905,4,905004,"28° 28' 24,1443''","- 13° 52' 04,9486''",17.1441,62085,0.05,979364.32,Observada
Lin00905,5,905005,28° 27' 49'',- 13° 52' 05'',26.9368,DATO NO DETECTADO,DATO NO DETECTADO,979361.90,Observada
Lin00905,6,905006,"28° 27' 49,5771''","- 13° 52' 05,0471''",26.7849,71727,0.05,979361.95,Observada
Lin00905,7,905007,"28° 27' 15,4935''","- 13° 52' 21,9397''",42.2570,87165,0.05,979358.71,Observada
Lin00905,8,905008,"28° 26' 36,0987''","- 13° 52' 12,6517''",22.1022,66928,0.05,979359.75,Observada
Lin00905,9,905009,"28° 25' 58,6203''","- 13° 52' 09,0506''",12.0357,56771,0.05,979358.51,Observada
Lin00905,10,905010,"28° 25' 08,4204''","- 13° 51' 55,8640''",22.3661,67001,0.05,979352.25,Observada
Lin00905,11,905011,28° 25' 08'',- 13° 51' 55'',22.5470,DATO NO DETECTADO,DATO NO DETECTADO,979352.19,Observada
Lin00905,12,905012,"28° 24' 20,6194''","- 13° 51' 52,2383''",33.1719,77719,0.05,979348.66,Observada
Lin00905,13,905013,"28° 23' 32,4876''","- 13° 51' 48,8415''",10.5301,55053,0.05,979351.00,Observada
Lin00905,14,905014,"28° 22' 59,9923''","- 13° 52' 00,1426''",6.6646,51012,DATO NO DETECTADO,979352.69,Observada
Lin00905,15,905015,28° 22' 06'',- 13° 52' 17'',11.7990,DATO NO DETECTADO,DATO NO DETECTADO,979352.20,Observada
Lin00905,16,905016,"28° 22' 06,8716''","- 13° 52' 17,9438''",11.5228,56071,0.05,979352.29,Observada
Lin00905,17,905017,"28° 21' 58,7537''","- 13° 53' 00,9475''",50.5225,DATO NO DETECTADO,DATO NO DETECTADO,979348.26,Observada
Lin00905,18,905018,"28° 22' 16,2043''","- 13° 53' 38,5584''",64.2719,109131,0.05,979350.07,Observada
Lin00905,19,905019,"28° 22' 32,0714''","- 13° 54' 15,5887''",76.9602,121647,DATO NO DETECTADO,979352.21,Observada
Lin00905,20,905020,"28° 22' 30,9454''","- 13° 54' 57,6311''",87.2199,132339,0.05,979355.63,Observada
Lin00905,21,905021,28° 22' 30'',- 13° 54' 57'',88.1989,DATO NO DETECTADO,DATO NO DETECTADO,979355.33,Observada
Lin00905,22,905022,"28° 22' 21,0307''","- 13° 55' 37,0488''",105.5031,DATO NO DETECTADO,DATO NO DETECTADO,979356.61,Observada
Lin00905,23,905023,"28° 22' 09,9497''","- 13° 56' 21,3979''",128.6068,DATO NO DETECTADO,DATO NO DETECTADO,979357.37,Observada
Lin00905,24,905024,"28° 22' 02,1117''","- 13° 57' 12,4633''",153.2175,198729,0.05,979362.84,Observada
Lin00905,25,905025,"28° 21' 25,0407''","- 13° 57' 32,5543''",126.0772,171608,0.05,979370.48,Observada
Lin00905,26,905026,28° 21' 25'',- 13° 57' 32'',126.3037,DATO NO DETECTADO,DATO NO DETECTADO,979370.41,Observada
Lin00905,27,905027,"28° 20' 47,9611''","- 13° 57' 11,4515''",100.2275,145607,0.05,979370.04,Observada
Lin00905,28,905028,"28° 20' 10,4408''","- 13° 56' 55,1325''",79.0705,124318,0.05,979370.53,Observada
Lin00905,29,905029,"28° 19' 49,1989''","- 13° 56' 51,5621''",92.1206,137254,0.05,979366.29,Observada
Lin00905,30,905030,"28° 19' 21,2810''","- 13° 56' 41,6419''",70.6047,115727,0.05,979368.89,Observada
Lin00905,31,905031,28° 18' 52'',- 13° 57' 07'',83.7662,DATO NO DETECTADO,DATO NO DETECTADO,979370.16,Observada
Lin00905,32,905032,"28° 18' 52,0885''","- 13° 57' 07,6538''",84.1433,129291,0.05,979370.04,Observada
Lin00905,33,905033,"28° 18' 32,1620''","- 13° 57' 31,4508''",86.9631,132213,0.05,979372.70,Observada
Lin00905,34,905034,"28° 18' 13,3240''","- 13° 58' 13,3757''",93.0191,138312,0.05,979378.84,Observada
Lin00905,35,905035,"28° 17' 44,2035''","- 13° 58' 37,0202''",105.2926,150537,0.05,979378.34,Observada
Lin00905,36,905036,"28° 17' 07,2487''","- 13° 58' 48,3714''",92.9243,138108,0.05,979380.04,Observada
Lin00905,37,905037,28° 17' 07'',- 13° 58' 48'',92.9482,DATO NO DETECTADO,DATO NO DETECTADO,979380.03,Observada
Lin00905,38,905038,"28° 16' 37,7019''","- 13° 59' 09,4118''",79.8408,124973,0.05,979383.13,Observada
Lin00905,39,905039,"28° 16' 13,5148''","- 13° 59' 40,8294''",60.5788,105813,0.05,979389.25,Observada
Lin00905,40,905040,"28° 15' 48,3694''","- 14° 00' 23,7433''",46.2249,91290,0.05,979394.89,Observada
Lin00905,41,905041,"28° 15' 15,4554''","- 14° 00' 58,0957''",35.0462,80185,0.05,979396.25,Observada
Lin00905,42,905042,28° 15' 15'',- 14° 00' 58'',35.0135,DATO NO DETECTADO,DATO NO DETECTADO,979396.26,Observada
Lin00905,43,905043,"28° 15' 09,6513''","- 14° 01' 30,8573''",40.0288,85218,0.05,979398.93,Observada
Lin00905,44,905044,"28° 15' 03,5268''","- 14° 02' 07,4316''",44.7862,90053,0.05,979402.22,Observada
Lin00905,45,905045,"28° 15' 47,9093''","- 14° 02' 16,8493''",63.8584,109267,0.05,979411.07,Observada
Lin00905,46,905046,28° 15' 47'',- 14° 02' 16'',63.9057,DATO NO DETECTADO,DATO NO DETECTADO,979411.05,Observada
Lin00905,47,905047,"28° 16' 12,7995''","- 14° 02' 46,9579''",87.3816,132902,0.05,979418.82,Observada
Lin00905,48,905048,"28° 16' 34,8996''","- 14° 03' 17,7267''",103.9855,149659,0.05,979425.46,Observada
Lin00905,49,905049,"28° 16' 42,1601''","- 14° 03' 56,4715''",127.0344,172823,0.05,979427.09,Observada
Lin00905,50,905050,28° 16' 55'',- 14° 04' 09'',126.4622,DATO NO DETECTADO,DATO NO DETECTADO,979431.34,Observada
Lin00905,51,905051,"28° 16' 55,9486''","- 14° 04' 09,8245''",126.4467,172318,0.05,979431.35,Observada
Lin00905,52,905052,"28° 17' 51,8864''","- 14° 04' 15,3182''",199.4546,245533,0.05,979426.84,Observada
Lin00905,53,905053,"28° 18' 15,9441''","- 14° 03' 55,9704''",183.1714,229271,0.05,979433.15,Observada
Lin00905,54,905054,"28° 18' 49,6915''","- 14° 03' 31,7777''",194.1649,240327,0.05,979432.80,Observada
Lin00905,55,905055,"28° 19' 31,7747''","- 14° 02' 57,8023''",195.9129,242369,DATO NO DETECTADO,979431.86,Observada
Lin00905,56,905056,28° 19' 31'',- 14° 02' 57'',195.9140,DATO NO DETECTADO,DATO NO DETECTADO,979431.86,Observada
Lin00905,57,905057,"28° 20' 01,5086''","- 14° 03' 27,2203''",244.2566,290548,0.05,979428.43,Observada
Lin00905,58,905058,"28° 20' 12,8738''","- 14° 03' 50,7261''",319.0472,365369,0.05,979414.40,Observada
Lin00905,59,905059,"28° 20' 30,2552''","- 14° 04' 14,9802''",384.8785,431271,0.05,979402.48,Observada
Lin00905,60,905060,"28° 20' 52,5880''","- 14° 04' 37,8419''",316.8234,363327,DATO NO DETECTADO,979417.77,Observada
Lin00905,61,905061,28° 21' 17'',- 14° 04' 54'',280.8009,DATO NO DETECTADO,DATO NO DETECTADO,979419.65,Observada
Lin00905,62,905062,"28° 21' 17,7140''","- 14° 04' 54,3084''",279.7749,326180,0.05,979419.97,Observada
Lin00905,63,905063,"28° 21' 23,3786''","- 14° 05' 31,3061''",245.6085,291989,0.05,979425.06,Observada
Lin00905,64,905064,"28° 21' 10,6907''","- 14° 06' 10,2283''",209.0456,255467,0.05,979437.13,Observada
Lin00905,65,905065,28° 21' 02'',- 14° 06' 30'',198.8671,DATO NO DETECTADO,DATO NO DETECTADO,979436.62,Observada
Lin00905,66,905066,28° 21' 05'',- 14° 06' 33'',198.8153,DATO NO DETECTADO,DATO NO DETECTADO,979428.20,Observada
Lin00905,67,905067,"28° 21' 12,1309''","- 14° 06' 33,0627''",211.7676,258137,0.05,979426.91,Observada
Lin00905,68,905068,"28° 21' 31,4186''","- 14° 06' 35,6851''",261.1029,307472,0.05,979419.66,Observada
Lin00905,69,905069,28° 22' 05'',- 14° 06' 17'',313.5703,DATO NO DETECTADO,DATO NO DETECTADO,979412.57,Observada
Lin00905,70,905070,"28° 22' 05,2519''","- 14° 06' 17,1725''",313.2446,359747,0.05,979412.67,Observada
