Archivo_Origen,Pagina_PDF,ID_Punto,Latitud,Longitud,Alt_Ortometrica,Alt_Elipsoidal,Precision_m,Gravedad_mGal,Tipo_Gravedad
Lin00910,1,910001,28° 08' 46'',- 15° 24' 28'',2.4577,DATO NO DETECTADO,DATO NO DETECTADO,979368.53,Observada
Lin00910,2,910002,28° 08' 47'',- 15° 24' 26'',2.7306,DATO NO DETECTADO,DATO NO DETECTADO,979368.95,Observada
Lin00910,3,910003,28° 09' 14'',- 15° 24' 25'',3.6803,DATO NO DETECTADO,DATO NO DETECTADO,979368.80,Observada
Lin00910,4,910004,28° 09' 36'',- 15° 24' 25'',4.2861,DATO NO DETECTADO,DATO NO DETECTADO,979369.14,Observada
Lin00910,5,910005,28° 09' 36'',- 15° 24' 26'',4.8700,DATO NO DETECTADO,DATO NO DETECTADO,979369.96,Observada
Lin00910,6,910006,"28° 09' 36,5039''","- 15° 24' 25,7203''",4.8186,DATO NO DETECTADO,DATO NO DETECTADO,979369.98,Observada
Lin00910,7,910007,28° 09' 10'',- 15° 25' 02'',5.5269,DATO NO DETECTADO,DATO NO DETECTADO,979370.40,Observada
Lin00910,8,910008,28° 08' 51'',- 15° 25' 37'',2.8084,DATO NO DETECTADO,DATO NO DETECTADO,979373.91,Observada
Lin00911,1,911001,"28° 07' 57,4900''","- 15° 26' 25,4536''",10.4417,56987,DATO NO DETECTADO,979375.64,Observada
Lin00911,2,911002,"28° 07' 37,5983''","- 15° 26' 59,5999''",29.7648,73441,0.05,979373.37,Observada
Lin00911,3,911003,"28° 07' 36,0812''","- 15° 27' 52,4889''",13.3668,57161,0.05,979380.57,Observada
Lin00911,4,911004,"28° 07' 58,4406''","- 15° 28' 34,3776''",45.7417,89567,0.05,979377.14,Observada
Lin00911,5,911005,28° 07' 58'',- 15° 28' 34'',44.1353,DATO NO DETECTADO,DATO NO DETECTADO,979378.92,Observada
Lin00911,6,911006,"28° 08' 10,3777''","- 15° 29' 17,4344''",44.7909,88676,0.05,979378.72,Observada
Lin00911,7,911007,"28° 08' 30,5075''","- 15° 30' 08,4719''",82.1373,126024,0.05,979369.33,Observada
Lin00911,8,911008,"28° 08' 43,1289''","- 15° 30' 58,3329''",71.3406,115233,0.05,979370.75,Observada
Lin00911,9,911009,28° 08' 43'',- 15° 30' 58'',39.5019,DATO NO DETECTADO,DATO NO DETECTADO,979376.75,Observada
Lin00911,10,911010,"28° 09' 04,4807''","- 15° 31' 46,4358''",30.3478,74218,0.05,979378.43,Observada
Lin00911,11,911011,"28° 08' 47,4294''","- 15° 32' 38,4305''",9.0601,53120,0.05,979386.85,Observada
Lin00911,12,911012,28° 08' 47'',- 15° 32' 38'',9.1055,DATO NO DETECTADO,DATO NO DETECTADO,979386.83,Observada
Lin00911,13,911013,"28° 08' 43,0892''","- 15° 33' 33,0878''",14.1152,58364,0.05,979388.53,Observada
Lin00911,14,911014,"28° 08' 32,9167''","- 15° 34' 25,0306''",21.4139,65676,0.05,979392.74,Observada
Lin00911,15,911015,"28° 08' 22,5021''","- 15° 35' 14,7316''",89.8580,134317,0.05,979381.31,Observada
Lin00911,16,911016,28° 08' 23'',- 15° 35' 15'',164.6118,DATO NO DETECTADO,DATO NO DETECTADO,979367.72,Observada
Lin00911,17,911017,"28° 08' 27,5765''","- 15° 36' 01,3084''",164.5668,209251,DATO NO DETECTADO,979367.74,Observada
Lin00911,18,911018,"28° 08' 42,6848''","- 15° 36' 39,4662''",222.3330,266723,0.05,979358.12,Observada
Lin00911,19,911019,"28° 08' 37,2426''","- 15° 37' 28,7805''",188.4992,232981,0.05,979376.13,Observada
Lin00911,20,911020,"28° 08' 28,6162''","- 15° 38' 02,6307''",162.0867,206601,0.05,979389.66,Observada
Lin00911,21,911021,"28° 08' 41,9645''","- 15° 38' 49,2632''",129.5515,174087,0.05,979397.39,Observada
Lin00911,22,911022,"28° 08' 28,9750''","- 15° 39' 27,3624''",74.6233,119360,0.05,979417.47,Observada
Lin00911,23,911023,"28° 08' 03,2402''","- 15° 39' 40,4602''",97.1678,141981,0.05,979419.57,Observada
Lin00911,24,911024,28° 08' 03'',- 15° 39' 40'',102.3697,DATO NO DETECTADO,DATO NO DETECTADO,979417.97,Observada
Lin00911,25,911025,"28° 07' 27,6953''","- 15° 39' 57,3212''",168.4984,213527,0.05,979412.37,Observada
Lin00911,26,911026,"28° 06' 53,0029''","- 15° 40' 26,9304''",179.9021,225085,0.05,979416.02,Observada
Lin00911,27,911027,"28° 06' 37,0127''","- 15° 41' 07,5258''",158.1582,203332,0.05,979421.87,Observada
Lin00911,28,911028,"28° 06' 28,3573''","- 15° 41' 39,4907''",112.3769,157679,0.05,979430.36,Observada
Lin00911,29,911029,28° 06' 00'',- 15° 42' 03'',39.9216,DATO NO DETECTADO,DATO NO DETECTADO,979445.97,Observada
Lin00911,30,911030,28° 06' 00'',- 15° 42' 03'',39.7306,83,DATO NO DETECTADO,979446.03,Observada
Lin00911,31,911031,28° 06' 01'',- 15° 42' 02'',39.9500,DATO NO DETECTADO,DATO NO DETECTADO,979445.96,Observada
Lin00911,32,911032,"28° 05' 44,4326''","- 15° 42' 02,0263''",76.9866,122310,0.05,979438.02,Observada
Lin00911,33,911033,"28° 05' 33,1963''","- 15° 42' 03,7485''",133.2423,178652,0.05,979425.09,Observada
Lin00911,34,911034,"28° 05' 22,1701''","- 15° 42' 11,7816''",161.7759,207949,DATO NO DETECTADO,979417.44,Observada
Lin00911,35,911035,"28° 05' 00,4838''","- 15° 42' 20,7241''",103.9852,149383,0.05,979428.59,Observada
Lin00911,36,911036,"28° 04' 45,2045''","- 15° 42' 25,4489''",125.5601,171032,0.05,979422.58,Observada
Lin00911,37,911037,28° 04' 45'',- 15° 42' 25'',127.0363,DATO NO DETECTADO,DATO NO DETECTADO,979422.12,Observada
Lin00911,38,911038,"28° 04' 39,6800''","- 15° 42' 29,0112''",190.8137,236254,0.05,979408.72,Observada
Lin00911,39,911039,"28° 04' 20,7708''","- 15° 42' 44,3311''",187.5511,487847,DATO NO DETECTADO,979404.22,Observada
Lin00911,40,911040,"28° 04' 12,3540''","- 15° 43' 05,4734''",155.0231,200493,0.05,979409.31,Observada
Lin00911,41,911041,"28° 03' 52,5530''","- 15° 43' 32,5049''",186.6504,232165,0.05,979398.44,Observada
Lin00911,42,911042,"28° 03' 37,8508''","- 15° 43' 52,7133''",182.2568,227696,0.05,979403.89,Observada
Lin00911,43,911043,"28° 03' 32,0183''","- 15° 43' 48,8422''",162.6677,208198,0.05,979409.42,Observada
Lin00911,44,911044,28° 03' 07'',- 15° 43' 52'',68.1035,DATO NO DETECTADO,DATO NO DETECTADO,979428.53,Observada
Lin00911,45,911045,"28° 03' 06,8783''","- 15° 43' 52,4223''",66.3730,111924,0.05,979429.06,Observada
Lin00911,46,911046,"28° 02' 45,3689''","- 15° 43' 50,3779''",84.8620,130441,0.05,979424.63,Observada
Lin00911,47,911047,"28° 02' 30,1991''","- 15° 44' 05,6145''",169.5759,215256,0.05,979406.04,Observada
Lin00911,48,911048,"28° 01' 58,5580''","- 15° 44' 13,8971''",263.5586,309284,0.05,979380.37,Observada
Lin00911,49,911049,"28° 02' 19,0788''","- 15° 44' 29,5063''",345.9826,391618,0.05,979365.07,Observada
Lin00911,50,911050,"28° 02' 11,1914''","- 15° 44' 59,8713''",453.1142,498648,0.05,979337.48,Observada
Lin00911,51,911051,28° 02' 11'',- 15° 44' 59'',454.3207,DATO NO DETECTADO,DATO NO DETECTADO,979337.11,Observada
Lin00911,52,911052,"28° 02' 06,7913''","- 15° 45' 23,7652''",528.2823,573753,0.05,979318.34,Observada
Lin00911,53,911053,"28° 01' 50,7471''","- 15° 45' 56,2090''",534.0333,579383,0.05,979309.56,Observada
Lin00911,54,911054,"28° 01' 34,3761''","- 15° 46' 21,6469''",526.1028,571484,0.05,979307.41,Observada
Lin00911,55,911055,"28° 01' 13,1850''","- 15° 46' 40,8400''",449.6691,494981,0.05,979327.46,Observada
Lin00911,56,911056,"28° 01' 08,4412''","- 15° 47' 04,9549''",364.1513,409299,0.05,979342.09,Observada
Lin00911,57,911057,28° 01' 08'',- 15° 47' 05'',363.6334,DATO NO DETECTADO,DATO NO DETECTADO,979342.25,Observada
Lin00911,58,911058,28° 00' 54'',- 15° 47' 05'',298.7014,DATO NO DETECTADO,DATO NO DETECTADO,979360.43,Observada
Lin00911,59,911059,"28° 00' 43,6340''","- 15° 47' 05,2888''",289.5910,334858,0.05,979363.24,Observada
Lin00911,60,911060,"28° 00' 43,4944''","- 15° 47' 20,2384''",213.8870,259072,0.05,979379.13,Observada
Lin00911,61,911061,"28° 00' 29,4432''","- 15° 47' 52,9800''",122.1999,167324,0.05,979395.32,Observada
Lin00911,62,911062,"28° 00' 21,4167''","- 15° 48' 28,6754''",57.4039,102449,0.05,979405.95,Observada
Lin00911,63,911063,28° 00' 14'',- 15° 48' 41'',42.9137,DATO NO DETECTADO,DATO NO DETECTADO,979410.42,Observada
Lin00911,64,911064,28° 00' 06'',- 15° 48' 54'',8.5691,DATO NO DETECTADO,DATO NO DETECTADO,979413.66,Observada
Lin00911,65,911065,"28° 00' 05,6966''","- 15° 48' 53,7297''",8.1740,53066,0.05,979413.92,Observada
Lin00911,66,911066,"27° 59' 42,3291''","- 15° 48' 19,0617''",40.4588,85506,0.05,979409.35,Observada
Lin00911,67,911067,"27° 59' 18,8065''","- 15° 47' 39,7110''",60.8160,105926,0.05,979408.81,Observada
Lin00911,68,911068,"27° 58' 52,0509''","- 15° 47' 03,5753''",88.7943,133953,0.05,979403.84,Observada
Lin00911,69,911069,"27° 58' 24,5658''","- 15° 46' 54,7543''",148.8617,194022,0.05,979390.42,Observada
Lin00911,70,911070,"27° 57' 50,7543''","- 15° 46' 44,4338''",222.5956,267839,0.05,979372.67,Observada
Lin00911,71,911071,27° 57' 17'',- 15° 46' 36'',252.0256,DATO NO DETECTADO,DATO NO DETECTADO,979363.89,Observada
Lin00911,72,911072,"27° 57' 16,5441''","- 15° 46' 36,0438''",252.3728,297690,0.05,979363.78,Observada
Lin00911,73,911073,"27° 57' 10,3212''","- 15° 46' 04,6323''",342.3136,387735,0.05,979343.04,Observada
Lin00911,74,911074,"27° 56' 55,2365''","- 15° 45' 44,3787''",468.7836,514296,0.05,979313.51,Observada
Lin00911,75,911075,"27° 56' 28,4888''","- 15° 45' 29,0569''",597.3537,642828,0.05,979285.53,Observada
Lin00911,76,911076,"27° 56' 18,9123''","- 15° 45' 29,8397''",673.2686,718740,0.05,979272.03,Observada
Lin00911,77,911077,"27° 56' 02,3052''","- 15° 45' 05,9459''",661.3393,706821,0.05,979271.61,Observada
Lin00911,78,911078,27° 56' 02'',- 15° 45' 06'',661.7755,DATO NO DETECTADO,DATO NO DETECTADO,979271.47,Observada
Lin00911,79,911079,"27° 55' 32,2536''","- 15° 44' 51,8669''",657.5066,702997,0.05,979273.31,Observada
Lin00911,80,911080,"27° 55' 28,1958''","- 15° 44' 24,8514''",586.8419,889868,DATO NO DETECTADO,979283.17,Observada
Lin00911,81,911081,"27° 55' 12,5330''","- 15° 44' 00,4506''",506.8863,552357,0.05,979299.04,Observada
Lin00911,82,911082,"27° 55' 25,3054''","- 15° 43' 35,4316''",470.4692,463369,DATO NO DETECTADO,979299.62,Observada
Lin00911,83,911083,"27° 54' 51,8085''","- 15° 43' 45,9134''",392.4883,437968,0.05,979325.81,Observada
Lin00911,84,911084,"27° 54' 25,1793''","- 15° 43' 38,3570''",322.4660,367863,0.05,979339.49,Observada
Lin00911,85,911085,27° 54' 25'',- 15° 43' 38'',321.6311,DATO NO DETECTADO,DATO NO DETECTADO,979328.75,Observada
Lin00911,86,911086,"27° 54' 06,3159''","- 15° 43' 25,5855''",368.7744,414142,0.05,979328.74,Observada
Lin00911,87,911087,"27° 53' 50,7424''","- 15° 43' 19,0319''",424.7464,470231,DATO NO DETECTADO,979315.27,Observada
Lin00911,88,911088,"27° 53' 58,8679''","- 15° 42' 55,0732''",379.7535,425132,0.05,979324.59,Observada
Lin00911,89,911089,"27° 54' 02,2488''","- 15° 42' 31,7627''",324.1163,369613,0.05,979333.40,Observada
Lin00911,90,911090,"27° 53' 30,6741''","- 15° 42' 59,7149''",277.5257,322864,0.05,979342.16,Observada
Lin00911,91,911091,"27° 53' 02,4265''","- 15° 43' 27,3243''",249.7020,294657,DATO NO DETECTADO,979345.35,Observada
Lin00911,92,911092,27° 53' 02'',- 15° 43' 27'',248.1872,DATO NO DETECTADO,DATO NO DETECTADO,979345.82,Observada
Lin00911,93,911093,"27° 52' 32,1815''","- 15° 43' 46,2238''",214.2328,259332,0.05,979349.68,Observada
Lin00911,94,911094,"27° 52' 03,3491''","- 15° 44' 14,1343''",168.5234,213377,0.05,979354.99,Observada
Lin00911,95,911095,"27° 51' 27,9096''","- 15° 44' 36,5848''",135.7618,180433,0.05,979358.55,Observada
Lin00911,96,911096,"27° 50' 44,6950''","- 15° 44' 46,6828''",89.1513,133490,0.05,979364.85,Observada
Lin00911,97,911097,"27° 50' 14,9040''","- 15° 44' 59,1091''",67.2530,111398,0.05,979366.79,Observada
Lin00911,98,911098,27° 49' 48'',- 15° 45' 19'',39.7304,DATO NO DETECTADO,DATO NO DETECTADO,979371.41,Observada
Lin00911,99,911099,"27° 49' 48,0159''","- 15° 45' 18,6592''",37.0723,81181,0.05,979370.59,Observada
