Archivo_Origen,Pagina_PDF,ID_Punto,Latitud,Longitud,Alt_Ortometrica,Alt_Elipsoidal,Precision_m,Gravedad_mGal,Tipo_Gravedad
Lin00900,1,900001,"28° 57' 55,8357''","- 13° 32' 13,5639''",2.3984,47.317,0.05,979432.45,Observada
Lin00900,2,900002,"28° 57' 43,3687''","- 13° 32' 20,0989''",2.9008,47.819,0.05,979430.14,Observada
Lin00900,3,900003,28° 57' 43'',- 13° 32' 20'',3.1111,DATO NO DETECTADO,DATO NO DETECTADO,979430.07,Observada
Lin00901,1,901001,"28° 57' 33,0982''","- 13° 33' 32,7224''",2.9483,48.039,DATO NO DETECTADO,979442.73,Observada
Lin00901,2,901002,"28° 57' 30,2345''","- 13° 34' 21,6590''",18.7352,63.770,0.05,979444.28,Observada
Lin00901,3,901003,"28° 57' 27,6514''","- 13° 35' 11,3478''",20.1536,65.185,DATO NO DETECTADO,979445.62,Observada
Lin00901,4,901004,"28° 57' 25,0067''","- 13° 35' 57,0981''",16.8783,62.014,0.05,979444.2,Observada
Lin00901,5,901005,"28° 57' 21,5321''","- 13° 36' 52,5998''",48.1840,93.353,0.05,979432.25,Observada
Lin00901,6,901006,28° 57' 22'',- 13° 36' 53'',48.1221,DATO NO DETECTADO,DATO NO DETECTADO,979432.27,Observada
Lin00901,7,901007,"28° 57' 15,5649''","- 13° 37' 39,0932''",75.6998,120.851,0.05,979419,Observada
Lin00901,8,901008,28° 57' 26'',- 13° 38' 25'',139.1818,DATO NO DETECTADO,DATO NO DETECTADO,979399.38,Observada
Lin00901,9,901009,28° 57' 25'',- 13° 39' 10'',215.6125,DATO NO DETECTADO,DATO NO DETECTADO,979378.57,Observada
Lin00901,10,901010,28° 57' 13'',- 13° 40' 06'',206.0202,DATO NO DETECTADO,DATO NO DETECTADO,979373.37,Observada
Lin00901,11,901011,28° 57' 13'',- 13° 40' 07'',205.1610,DATO NO DETECTADO,DATO NO DETECTADO,979373.64,Observada
Lin00901,12,901012,28° 56' 57'',- 13° 40' 39'',184.7518,DATO NO DETECTADO,DATO NO DETECTADO,979372.04,Observada
Lin00901,13,901013,"28° 56' 51,8657''","- 13° 41' 18,4240''",179.9217,224.966,0.05,979368.06,Observada
Lin00901,14,901014,"28° 56' 38,9228''","- 13° 42' 08,7864''",165.7118,210.776,0.05,979365.52,Observada
Lin00901,15,901015,"28° 56' 15,6957''","- 13° 42' 53,9439''",167.1655,212.163,0.05,979362.65,Observada
Lin00901,16,901016,28° 56' 010'',- 13° 43' 41'',179.2908,DATO NO DETECTADO,DATO NO DETECTADO,979359.17,Observada
Lin00901,17,901017,"28° 56' 09,6198''","- 13° 43' 41,3576''",179.0207,223.982,0.05,979359.26,Observada
Lin00901,18,901018,"28° 56' 25,8543''","- 13° 44' 24,8566''",208.5436,253.540,0.05,979353.75,Observada
Lin00901,19,901019,"28° 56' 58,9379''","- 13° 44' 56,5281''",217.8165,262.882,DATO NO DETECTADO,979356.4,Observada
Lin00901,20,901020,"28° 57' 28,0781''","- 13° 45' 30,4322''",195.1899,240.094,0.05,979361.97,Observada
Lin00901,21,901021,28° 57' 28'',- 13° 45' 30'',195.6505,DATO NO DETECTADO,DATO NO DETECTADO,979361.82,Observada
Lin00901,22,901022,"28° 58' 11,7861''","- 13° 45' 03,9442''",221.9217,266.931,0.05,979358.27,Observada
Lin00901,23,901023,"28° 58' 53,8288''","- 13° 44' 40,0909''",259.5449,304.524,DATO NO DETECTADO,979350.52,Observada
Lin00901,24,901024,"28° 59' 29,2257''","- 13° 44' 29,2108''",322.5651,367.583,0.05,979335.3,Observada
Lin00901,25,901025,"29° 00' 09,1964''","- 13° 44' 22,0617''",352.6472,397.694,0.05,979328.09,Observada
Lin00901,26,901026,29° 00' 36'',- 13° 44' 05'',299.6193,DATO NO DETECTADO,DATO NO DETECTADO,979340.85,Observada
Lin00901,27,901027,"29° 00' 36,2907''","- 13° 44' 04,7550''",299.5863,344.675,0.05,979340.89,Observada
Lin00901,28,901028,"29° 00' 57,1120''","- 13° 43' 26,7750''",311.4795,356.627,0.05,979342.8,Observada
Lin00901,29,901029,"29° 01' 23,0577''","- 13° 42' 52,5364''",298.7559,343.876,DATO NO DETECTADO,979346.37,Observada
Lin00901,30,901030,"29° 01' 54,8119''","- 13° 42' 13,9813''",273.0276,318.281,0.05,979353.7,Observada
Lin00901,31,901031,"29° 02' 20,9803''","- 13° 41' 53,8355''",245.3243,290.561,0.05,979361.7,Observada
Lin00901,32,901032,29° 02' 56'',- 13° 41' 22'',243.6122,DATO NO DETECTADO,DATO NO DETECTADO,979358.31,Observada
Lin00901,33,901033,"29° 02' 55,7297''","- 13° 41' 21,5784''",242.2690,287.568,DATO NO DETECTADO,979358.72,Observada
Lin00901,34,901034,29° 03' 19'',- 13° 40' 53'',230.9017,DATO NO DETECTADO,DATO NO DETECTADO,979363.33,Observada
Lin00901,35,901035,"29° 04' 00,4736''","- 13° 40' 35,2860''",196.7207,241.923,0.05,979368.89,Observada
Lin00901,36,901036,"29° 03' 49,3872''","- 13° 40' 04,7614''",199.6753,244.941,0.05,979372.26,Observada
Lin00901,37,901037,"29° 03' 37,8734''","- 13° 39' 31,0608''",216.2347,261.503,0.05,979371.63,Observada
Lin00901,38,901038,"29° 03' 25,0000''","- 13° 39' 00,0000''",216.1507,DATO NO DETECTADO,DATO NO DETECTADO,979374.21,Observada
Lin00901,39,901039,29° 03' 25'',- 13° 39' 00'',215.9374,DATO NO DETECTADO,DATO NO DETECTADO,979374.28,Observada
Lin00901,40,901040,"29° 03' 15,1933''","- 13° 38' 11,8356''",228.0063,273.439,0.05,979379.61,Observada
Lin00901,41,901041,"29° 02' 56,8159''","- 13° 37' 30,8754''",275.3397,320.869,0.05,979375.48,Observada
Lin00901,42,901042,"29° 02' 17,6440''","- 13° 37' 33,9589''",300.4611,346.002,0.05,979373.04,Observada
Lin00901,43,901043,"29° 01' 38,4220''","- 13° 37' 09,0765''",282.4630,327.980,0.05,979388.85,Observada
Lin00902,1,902001,29° 00' 56'',- 13° 36' 53'',269.8998,DATO NO DETECTADO,DATO NO DETECTADO,979406.13,Observada
Lin00902,2,902002,"29° 01' 13,2856''","- 13° 36' 23,5267''",250.9608,296.528,0.05,979412.65,Observada
Lin00902,3,902003,"29° 01' 52,9455''","- 13° 36' 01,7102''",209.1599,254.722,0.05,979412.78,Observada
Lin00902,4,902004,"29° 02' 21,5215''","- 13° 35' 28,8294''",194.1918,239.662,0.05,979414.55,Observada
Lin00902,5,902005,"29° 02' 45,0977''","- 13° 34' 56,2622''",202.3519,247.924,0.05,979410.27,Observada
Lin00902,6,902006,29° 02' 45'',- 13° 34' 56'',204.5049,DATO NO DETECTADO,DATO NO DETECTADO,979409.61,Observada
Lin00902,7,902007,"29° 03' 24,1761''","- 13° 33' 58,0421''",270.8634,316.533,DATO NO DETECTADO,979389.36,Observada
Lin00902,8,902008,"29° 03' 34,5005''","- 13° 33' 24,1635''",319.6041,365.155,0.05,979376.59,Observada
Lin00902,9,902009,29° 03' 48'',- 13° 33' 02'',326.5170,DATO NO DETECTADO,DATO NO DETECTADO,979373.12,Observada
Lin00902,10,902010,"29° 03' 48,4677''","- 13° 33' 02,1637''",327.2507,372.799,0.05,979372.89,Observada
Lin00902,11,902011,"29° 03' 57,8485''","- 13° 32' 25,4752''",308.8259,354.350,0.05,979377.01,Observada
Lin00902,12,902012,"29° 04' 14,6369''","- 13° 31' 45,6602''",275.9691,321.473,0.05,979381.78,Observada
Lin00902,13,902013,"29° 04' 37,1894''","- 13° 31' 33,1589''",311.9508,357.492,0.05,979372.58,Observada
Lin00902,14,902014,"29° 05' 00,2219''","- 13° 31' 08,1233''",334.6508,380.105,0.05,979367.34,Observada
Lin00902,15,902015,"29° 05' 36,2828''","- 13° 30' 49,9618''",407.7711,453.199,DATO NO DETECTADO,979347.11,Observada
Lin00902,16,902016,29° 05' 36'',- 13° 30' 50'',409.1434,DATO NO DETECTADO,DATO NO DETECTADO,979346.69,Observada
Lin00902,17,902017,"29° 05' 52,0207''","- 13° 30' 41,8964''",478.1471,523.639,0.05,979328.81,Observada
Lin00902,18,902018,"29° 06' 22,5014''","- 13° 30' 49,6008''",535.3051,580.825,0.05,979314.79,Observada
