Longitud_DD,Latitud_DD,Elevacion_m,Gravedad_Obs_mGal,Gravedad_Normal_mGal,Anomalia_Aire_Libre_mGal,Anomalia_Bouguer_Simple_mGal,Anomalia_Bouguer_Completa_mGal
-17.90046222222222,27.78604852777778,3.6226,979343.53,979154.5084431274,189.02155687264167,188.64029887146168,299.37454143729747
-17.904316527777777,27.786205833333334,78.7488,979326.96,979131.3303306474,195.629669352551,187.341807020711,302.9140861053891
-17.89828836111111,27.79209625,156.1121,979306.99,979107.8895197462,199.1004802538082,182.6705715677782,310.1239762525675
-17.898055555555555,27.801111111111112,237.5752,979289.38,979083.4170033516,205.9629966483917,180.95956102703173,316.9381541424458
-17.898129333333333,27.80132216666667,238.6783,979289.04,979083.0922555642,205.94774443586357,180.82821382717356,316.8838768565063
-17.898129833333332,27.808193111111112,285.1964,979275.11,979069.2465522668,205.86344773322344,175.84815225270344,316.7982527312603
-17.901642083333332,27.803538444444445,341.7988,979265.68,979051.430052791,214.2499472090276,178.2775717621876,322.82548398910006
-17.903600777777775,27.807484694444444,427.9617,979244.74,979025.1317745416,219.60822545841802,174.567695915108,326.7196886470865
-17.910841388888887,27.809389916666667,496615,979234.68,979004.0861639663,230.5938360337168,178.3279379892168,331.6090365912141
-17.9163145,27.818435472222223,569.7038,979215.34,978982.204584936,233.13541506393813,173.17733742559813,329.2560328931743
-17.926698166666668,27.821017277777777,537.0572,979228.02,978992.4718815016,235.54811849840917,179.02590942444917,321.96634548661933
-17.9367865,27.82061061111111,518.5765,979235.89,978998.1448511367,237.74514886329416,183.16792812434414,317.6660945717257
-17.949411,27.821575083333332,494.6249,979240.22,979005.6084552468,234.611544753192,182.55509339012198,309.990770688629
-17.949444444444445,27.821666666666665,494.8041,979240.16,979005.5599783441,234.60002165590413,182.52471051427412,309.9762631203914
-17.956191,27.81807538888889,547.0586,979229.21,978989.1661238165,240.04387618345208,182.46907676747207,314.2160087426905
-17.96115988888889,27.814465416666668,555.4507,979232.48,978986.3072415076,246.17275849240832,187.71473838639832,319.46191941588756
-17.966974916666665,27.811668305555557,577.0021,979230.83,978979.4479895178,251.38201048213523,190.65582836910522,323.97153984660844
-17.97414186111111,27.80899966666667,609.5162,979224.3,978969.2153412856,255.08465871447697,190.93655290681698,327.0939117552808
-17.974444444444444,27.806944444444444,640.0722,979217.68,978959.6328172185,258.0471827815054,190.68323214304542,330.16568987521754
-17.975439527777777,27.804973944444445,681.4628,979209.07,978946.7133420592,262.35665794077795,190.63658257873794,334.59737098994
-17.966221555555556,27.80400022222222,734.6784,979201.76,978930.2194491675,271.54055083252024,194.21983689940024,345.02498985734917
-17.9688925,27.794492472222224,899.9204,979167.85,978878.5231361821,289.3268638178706,194.6153712641506,363.3689907254313
-17.969166666666666,27.79416666666667,899.9466,979167.84,978878.4907823,289.3492176999571,194.6349677455771,363.35755956754593
-17.97305622222222,27.786804194444446,988.99,979149.96,978850.4683024422,299.4916975577362,195.4061373007362,373.60541775783236
-17.976673249999997,27.780385916666667,1085.0057,979127.92,978820.3662281934,307.553771806648,193.363106414138,381.964724372163
-17.979449694444444,27.772986333333332,1174517,979105.28,978792.199188258,313.0808117419947,189.46959223889468,387.9902954921456
-17.980555555555554,27.763055555555557,1235.3025,979080.81,978772.7069745449,308.10302545514423,178.09447855439424,383.8586543430271
-17.98098647222222,27.76290572222222,1237.8023,979080.04,978771.924620699,308.1153793010162,177.8437426991262,383.863674672009
-17.97560736111111,27.761983055555554,1208631,979100.45,978780.8554870278,319.59451297216583,192.39298941886582,395.71517953412905
-17.97022661111111,27.76397477777778,1148.1463,979118.42,978799.6640836784,318.75591632165015,197.92006268056014,394.938545834822
-17.96489088888889,27.768003555555556,1087.8113,979136.99,978818.5786764193,318.41132358065806,203.92538478006804,394.64255913036334
-17.955541333333333,27.771391583333333,1046.0307,979144.51,978831.7214576562,312.7885423437692,202.69977354375922,390.1693304600069
-17.955277777777777,27.771666666666665,1045.9852,979144.53,978831.755976281,312.77402371901553,202.69004353465553,390.1955686305714
-17.945449777777778,27.773699138888887,1009.0527,979147.97,978843.3022773989,304.6677226010943,198.47067752648428,384.2523469718819
-17.937822305555557,27.78270413888889,1028.4803,979132.52,978837.9786981228,294.54130187723786,186.29961263994787,376.8561468731796
-17.932885666666667,27.79045527777778,921.0741,979153.22,978871.695394724,281.52460527594667,184.58680637331668,365.51653368823895
-17.93277777777778,27.790555555555557,918.3367,979154.07,978872.5474906812,281.52250931877643,184.87280616296644,365.5557607900364
-17.925755111111112,27.796346083333336,822.7663,979167.48,978902.4678229898,265.0121770101832,178.4207137030932,353.016685476186
-17.921485833333335,27.79531463888889,726.4933,979187.1,978932.0981156805,255.00188431947026,178.54260550628027,345.8937797887625
-17.920845611111112,27.795331694444446,701.9581,979192.8,978939.6704711181,253.12952888198197,179.25244001815196,344.4687780908292
-17.915496166666664,27.802146805555555,630.9596,979205.98,978962.0874283199,243.89257168013137,177.48767024985136,340.22344612790533
-17.915013499999997,27.806939083333333,584.8042,979216.77,978976.6878587283,240.08214127167594,178.53483260561592,336.9759781683432
-17915,27.806944444444444,582.9771,979217.33,978977.2521000897,240.07789991027676,178.72288310474676,336.98200278958547
-17915,27.806944444444444,584.8067,979216.77,978976.6874867047,240.08251329534687,178.53494151853687,336.98992967851046
